wavelength,n,kappa
529.0,1.0006635672160262,0
529.56,1.0006634968942847,0
530.12,1.0006634267952816,0
530.68,1.0006633569180774,0
531.24,1.0006632872617371,0
531.8,1.0006632178253312,0
532.36,1.0006631486079345,0
532.92,1.000663079608627,0
533.48,1.0006630108264936,0
534.04,1.0006629422606237,0
534.6,1.0006628739101118,0
535.16,1.0006628057740565,0
535.72,1.0006627378515622,0
536.28,1.000662670141737,0
536.84,1.000662602643694,0
537.4,1.0006625353565508,0
537.96,1.0006624682794298,0
538.52,1.000662401411458,0
539.08,1.0006623347517667,0
539.64,1.0006622682994917,0
540.2,1.0006622020537734,0
540.76,1.0006621360137566,0
541.32,1.0006620701785907,0
541.88,1.0006620045474293,0
542.44,1.0006619391194302,0
543.0,1.0006618738937558,0
543.56,1.000661808869573,0
544.12,1.0006617440460523,0
544.68,1.0006616794223695,0
545.24,1.0006616149977035,0
545.8,1.0006615507712382,0
546.36,1.0006614867421613,0
546.92,1.0006614229096649,0
547.48,1.000661359272945,0
548.04,1.0006612958312018,0
548.6,1.0006612325836395,0
549.16,1.0006611695294667,0
549.72,1.0006611066678959,0
550.28,1.000661043998143,0
550.84,1.0006609815194287,0
551.4,1.0006609192309772,0
551.96,1.000660857132017,0
552.52,1.0006607952217799,0
553.08,1.0006607334995021,0
553.64,1.0006606719644235,0
554.2,1.0006606106157878,0
554.76,1.0006605494528427,0
555.32,1.0006604884748396,0
555.88,1.0006604276810334,0
556.44,1.000660367070683,0
557.0,1.0006603066430513,0
557.56,1.0006602463974044,0
558.12,1.000660186333012,0
558.68,1.0006601264491481,0
559.24,1.0006600667450898,0
559.8,1.0006600072201182,0
560.36,1.0006599478735174,0
560.92,1.0006598887045757,0
561.48,1.0006598297125846,0
562.04,1.0006597708968394,0
562.6,1.0006597122566385,0
563.16,1.0006596537912842,0
563.72,1.0006595955000817,0
564.28,1.0006595373823404,0
564.84,1.0006594794373727,0
565.4,1.0006594216644944,0
565.96,1.0006593640630246,0
566.52,1.000659306632286,0
567.08,1.0006592493716044,0
567.64,1.0006591922803094,0
568.2,1.0006591353577332,0
568.76,1.000659078603212,0
569.32,1.0006590220160845,0
569.88,1.0006589655956932,0
570.44,1.0006589093413838,0
571.0,1.0006588532525051,0
571.56,1.000658797328409,0
572.12,1.0006587415684507,0
572.6800000000001,1.0006586859719884,0
573.24,1.0006586305383836,0
573.8,1.0006585752670007,0
574.36,1.0006585201572076,0
574.92,1.0006584652083748,0
575.48,1.0006584104198764,0
576.04,1.0006583557910889,0
576.6,1.000658301321392,0
577.16,1.0006582470101693,0
577.72,1.000658192856806,0
578.28,1.0006581388606908,0
578.84,1.000658085021216,0
579.4,1.000658031337776,0
579.96,1.0006579778097684,0
580.52,1.000657924436594,0
581.08,1.000657871217656,0
581.64,1.0006578181523607,0
582.2,1.0006577652401174,0
582.76,1.000657712480338,0
583.32,1.000657659872437,0
583.88,1.0006576074158327,0
584.44,1.0006575551099448,0
585.0,1.0006575029541969,0
