wavelength,n,kappa
529.0,1.379228664577385,0
529.056,1.3792205644601623,0
529.112,1.379212466914697,0
529.168,1.3792043719399003,0
529.224,1.3791962795346846,0
529.28,1.379188189697962,0
529.336,1.379180102428646,0
529.392,1.3791720177256503,0
529.448,1.379163935587889,0
529.504,1.3791558560142771,0
529.56,1.3791477790037299,0
529.616,1.3791397045551637,0
529.672,1.3791316326674947,0
529.728,1.3791235633396404,0
529.784,1.3791154965705181,0
529.84,1.3791074323590469,0
529.896,1.3790993707041448,0
529.952,1.3790913116047316,0
530.008,1.3790832550597276,0
530.064,1.379075201068053,0
530.12,1.379067149628629,0
530.176,1.3790591007403774,0
530.232,1.3790510544022208,0
530.288,1.3790430106130815,0
530.344,1.3790349693718833,0
530.4,1.37902693067755,0
530.456,1.3790188945290065,0
530.512,1.3790108609251777,0
530.568,1.3790028298649892,0
530.624,1.3789948013473674,0
530.68,1.3789867753712393,0
530.736,1.3789787519355319,0
530.792,1.3789707310391737,0
530.848,1.3789627126810928,0
530.904,1.3789546968602184,0
530.96,1.3789466835754802,0
531.016,1.3789386728258086,0
531.072,1.3789306646101342,0
531.128,1.3789226589273884,0
531.184,1.3789146557765033,0
531.24,1.378906655156411,0
531.296,1.3788986570660449,0
531.352,1.3788906615043384,0
531.408,1.3788826684702258,0
531.464,1.3788746779626415,0
531.52,1.3788666899805213,0
531.576,1.378858704522801,0
531.632,1.3788507215884165,0
531.688,1.3788427411763053,0
531.744,1.3788347632854048,0
531.8,1.378826787914653,0
531.856,1.3788188150629885,0
531.912,1.3788108447293506,0
531.968,1.3788028769126792,0
532.024,1.3787949116119145,0
532.08,1.3787869488259974,0
532.136,1.3787789885538693,0
532.192,1.378771030794472,0
532.248,1.3787630755467486,0
532.304,1.378755122809642,0
532.36,1.3787471725820954,0
532.416,1.3787392248630537,0
532.472,1.3787312796514613,0
532.528,1.3787233369462637,0
532.584,1.3787153967464065,0
532.64,1.3787074590508364,0
532.696,1.3786995238585005,0
532.752,1.378691591168346,0
532.808,1.3786836609793212,0
532.864,1.3786757332903747,0
532.92,1.378667808100456,0
532.976,1.3786598854085146,0
533.032,1.3786519652135005,0
533.088,1.3786440475143653,0
533.144,1.3786361323100598,0
533.2,1.378628219599536,0
533.256,1.3786203093817468,0
533.312,1.3786124016556451,0
533.368,1.3786044964201842,0
533.424,1.3785965936743187,0
533.48,1.3785886934170033,0
533.536,1.378580795647193,0
533.592,1.3785729003638436,0
533.648,1.3785650075659115,0
533.704,1.3785571172523539,0
533.76,1.3785492294221278,0
533.816,1.3785413440741916,0
533.872,1.3785334612075035,0
533.928,1.3785255808210228,0
533.984,1.3785177029137092,0
534.04,1.3785098274845227,0
534.096,1.3785019545324242,0
534.152,1.3784940840563746,0
534.208,1.3784862160553362,0
534.264,1.3784783505282712,0
534.32,1.3784704874741422,0
534.376,1.3784626268919131,0
534.432,1.3784547687805477,0
534.488,1.3784469131390105,0
534.544,1.3784390599662666,0
534.6,1.3784312092612816,0
534.656,1.3784233610230219,0
534.712,1.3784155152504538,0
534.768,1.3784076719425447,0
534.824,1.3783998310982624,0
534.88,1.378391992716575,0
534.936,1.3783841567964519,0
534.992,1.3783763233368622,0
535.048,1.3783684923367758,0
535.104,1.378360663795163,0
535.16,1.3783528377109953,0
535.216,1.3783450140832438,0
535.272,1.378337192910881,0
535.328,1.3783293741928793,0
535.384,1.3783215579282118,0
535.44,1.3783137441158522,0
535.496,1.378305932754775,0
535.552,1.3782981238439547,0
535.608,1.3782903173823668,0
535.664,1.378282513368987,0
