wavelength,n,kappa
529.0,1.0007573808591308,0
529.056,1.0007573756980293,0
529.112,1.0007573705385664,0
529.168,1.0007573653807416,0
529.224,1.0007573602245539,0
529.28,1.0007573550700029,0
529.336,1.0007573499170874,0
529.392,1.0007573447658074,0
529.448,1.0007573396161618,0
529.504,1.00075733446815,0
529.56,1.0007573293217713,0
529.616,1.000757324177025,0
529.672,1.0007573190339103,0
529.728,1.0007573138924266,0
529.784,1.0007573087525734,0
529.84,1.0007573036143498,0
529.896,1.000757298477755,0
529.952,1.0007572933427886,0
530.008,1.0007572882094498,0
530.064,1.0007572830777378,0
530.12,1.0007572779476521,0
530.176,1.0007572728191918,0
530.232,1.0007572676923564,0
530.288,1.0007572625671453,0
530.344,1.0007572574435575,0
530.4,1.0007572523215924,0
530.456,1.0007572472012494,0
530.512,1.000757242082528,0
530.568,1.000757236965427,0
530.624,1.0007572318499462,0
530.68,1.0007572267360847,0
530.736,1.000757221623842,0
530.792,1.0007572165132173,0
530.848,1.0007572114042096,0
530.904,1.0007572062968189,0
530.96,1.0007572011910437,0
531.016,1.0007571960868842,0
531.072,1.000757190984339,0
531.128,1.0007571858834077,0
531.184,1.0007571807840896,0
531.24,1.0007571756863842,0
531.296,1.0007571705902905,0
531.352,1.000757165495808,0
531.408,1.000757160402936,0
531.464,1.0007571553116739,0
531.52,1.0007571502220207,0
531.576,1.000757145133976,0
531.632,1.0007571400475395,0
531.688,1.0007571349627096,0
531.744,1.0007571298794864,0
531.8,1.0007571247978688,0
531.856,1.0007571197178564,0
531.912,1.0007571146394483,0
531.968,1.000757109562644,0
532.024,1.0007571044874426,0
532.08,1.0007570994138437,0
532.136,1.0007570943418465,0
532.192,1.0007570892714501,0
532.248,1.0007570842026543,0
532.304,1.000757079135458,0
532.36,1.0007570740698608,0
532.416,1.000757069005862,0
532.472,1.0007570639434609,0
532.528,1.0007570588826566,0
532.584,1.0007570538234487,0
532.64,1.0007570487658364,0
532.696,1.000757043709819,0
532.752,1.0007570386553961,0
532.808,1.0007570336025666,0
532.864,1.0007570285513303,0
532.92,1.000757023501686,0
532.976,1.0007570184536336,0
533.032,1.000757013407172,0
533.088,1.0007570083623007,0
533.144,1.0007570033190192,0
533.2,1.0007569982773263,0
533.256,1.000756993237222,0
533.312,1.000756988198705,0
533.368,1.0007569831617753,0
533.424,1.0007569781264316,0
533.48,1.0007569730926738,0
533.536,1.0007569680605006,0
533.592,1.0007569630299118,0
533.648,1.0007569580009068,0
533.704,1.0007569529734845,0
533.76,1.0007569479476446,0
533.816,1.0007569429233865,0
533.872,1.000756937900709,0
533.928,1.0007569328796122,0
533.984,1.0007569278600947,0
534.04,1.0007569228421564,0
534.096,1.0007569178257962,0
534.152,1.0007569128110139,0
534.208,1.0007569077978085,0
534.264,1.0007569027861793,0
534.32,1.0007568977761259,0
534.376,1.0007568927676473,0
534.432,1.0007568877607433,0
534.488,1.0007568827554127,0
534.544,1.0007568777516553,0
534.6,1.0007568727494704,0
534.656,1.000756867748857,0
534.712,1.0007568627498147,0
534.768,1.000756857752343,0
534.824,1.0007568527564408,0
534.88,1.0007568477621076,0
534.936,1.000756842769343,0
534.992,1.0007568377781462,0
535.048,1.0007568327885163,0
535.104,1.000756827800453,0
535.16,1.0007568228139554,0
535.216,1.0007568178290231,0
535.272,1.0007568128456552,0
535.328,1.0007568078638511,0
535.384,1.0007568028836102,0
535.44,1.0007567979049319,0
535.496,1.0007567929278154,0
535.552,1.00075678795226,0
535.608,1.0007567829782653,0
535.664,1.0007567780058304,0
535.72,1.000756773034955,0
535.776,1.000756768065638,0
535.832,1.0007567630978789,0
535.888,1.0007567581316772,0
535.944,1.000756753167032,0
536.0,1.000756748203943,0
536.056,1.0007567432424094,0
536.112,1.0007567382824303,0
536.168,1.0007567333240055,0
536.224,1.000756728367134,0
536.28,1.000756723411815,0
536.336,1.0007567184580484,0
536.392,1.000756713505833,0
536.448,1.0007567085551687,0
536.504,1.0007567036060545,0
536.56,1.0007566986584897,0
536.616,1.0007566937124739,0
536.672,1.0007566887680062,0
536.728,1.000756683825086,0
536.784,1.000756678883713,0
536.84,1.000756673943886,0
536.896,1.000756669005605,0
536.952,1.0007566640688685,0
537.008,1.0007566591336767,0
537.064,1.0007566542000286,0
537.12,1.0007566492679234,0
537.176,1.0007566443373608,0
537.232,1.0007566394083398,0
537.288,1.00075663448086,0
537.344,1.0007566295549208,0
537.4,1.0007566246305213,0
537.456,1.0007566197076612,0
537.512,1.0007566147863394,0
537.568,1.0007566098665557,0
537.624,1.0007566049483092,0
537.68,1.0007566000315995,0
537.736,1.0007565951164257,0
537.792,1.000756590202787,0
537.848,1.0007565852906835,0
537.904,1.0007565803801137,0
537.96,1.0007565754710777,0
538.016,1.0007565705635741,0
538.072,1.000756565657603,0
538.128,1.0007565607531632,0
538.184,1.0007565558502545,0
538.24,1.000756550948876,0
538.296,1.000756546049027,0
538.352,1.0007565411507071,0
538.408,1.0007565362539155,0
538.464,1.0007565313586517,0
538.52,1.000756526464915,0
538.576,1.0007565215727046,0
538.632,1.00075651668202,0
538.688,1.0007565117928605,0
538.744,1.0007565069052258,0
538.8,1.000756502019115,0
538.856,1.0007564971345273,0
538.912,1.0007564922514622,0
538.968,1.000756487369919,0
539.024,1.0007564824898976,0
539.08,1.0007564776113966,0
539.136,1.0007564727344158,0
539.192,1.0007564678589544,0
539.248,1.000756462985012,0
539.304,1.0007564581125878,0
539.36,1.0007564532416813,0
539.416,1.0007564483722915,0
539.472,1.000756443504418,0
539.528,1.0007564386380603,0
539.584,1.0007564337732178,0
539.64,1.0007564289098896,0
539.696,1.0007564240480753,0
539.752,1.000756419187774,0
539.808,1.0007564143289853,0
539.864,1.0007564094717087,0
539.92,1.0007564046159432,0
539.976,1.0007563997616886,0
540.032,1.0007563949089437,0
540.088,1.0007563900577086,0
540.144,1.0007563852079822,0
540.2,1.0007563803597637,0
540.256,1.0007563755130529,0
540.312,1.000756370667849,0
540.368,1.0007563658241516,0
540.424,1.0007563609819596,0
540.48,1.0007563561412727,0
540.536,1.0007563513020903,0
540.592,1.0007563464644116,0
540.648,1.0007563416282361,0
540.704,1.0007563367935632,0
540.76,1.0007563319603923,0
540.816,1.0007563271287225,0
540.872,1.0007563222985536,0
540.928,1.0007563174698848,0
540.984,1.0007563126427153,0
541.04,1.0007563078170445,0
541.096,1.000756302992872,0
541.152,1.0007562981701972,0
541.208,1.0007562933490193,0
541.264,1.0007562885293377,0
541.32,1.0007562837111519,0
541.376,1.000756278894461,0
541.432,1.0007562740792648,0
541.488,1.0007562692655625,0
541.544,1.0007562644533532,0
541.6,1.0007562596426367,0
541.656,1.0007562548334121,0
541.712,1.000756250025679,0
541.768,1.0007562452194367,0
541.824,1.0007562404146846,0
541.88,1.000756235611422,0
541.936,1.0007562308096483,0
541.992,1.000756226009363,0
542.048,1.0007562212105652,0
542.104,1.0007562164132546,0
542.16,1.0007562116174307,0
542.216,1.0007562068230924,0
542.272,1.0007562020302394,0
542.328,1.000756197238871,0
542.384,1.0007561924489867,0
542.44,1.0007561876605857,0
542.496,1.0007561828736675,0
542.552,1.0007561780882317,0
542.608,1.0007561733042771,0
542.664,1.0007561685218038,0
542.72,1.0007561637408107,0
542.776,1.0007561589612974,0
542.832,1.000756154183263,0
542.888,1.0007561494067074,0
542.944,1.0007561446316295,0
543.0,1.0007561398580291,0
543.056,1.0007561350859053,0
543.112,1.0007561303152575,0
543.168,1.0007561255460853,0
543.224,1.000756120778388,0
543.28,1.0007561160121647,0
543.336,1.0007561112474153,0
543.392,1.0007561064841388,0
543.448,1.0007561017223348,0
543.504,1.0007560969620024,0
543.56,1.0007560922031415,0
543.616,1.000756087445751,0
543.672,1.0007560826898307,0
543.728,1.0007560779353797,0
543.784,1.0007560731823975,0
543.84,1.0007560684308834,0
543.896,1.000756063680837,0
543.952,1.0007560589322575,0
544.008,1.0007560541851446,0
544.064,1.0007560494394971,0
544.12,1.000756044695315,0
544.176,1.0007560399525974,0
544.232,1.0007560352113438,0
544.288,1.0007560304715537,0
544.344,1.0007560257332262,0
544.4,1.0007560209963609,0
544.456,1.000756016260957,0
544.512,1.0007560115270142,0
544.568,1.0007560067945318,0
544.624,1.0007560020635091,0
544.68,1.0007559973339455,0
544.736,1.0007559926058405,0
544.792,1.0007559878791934,0
544.848,1.0007559831540038,0
544.904,1.0007559784302709,0
544.96,1.000755973707994,0
545.016,1.0007559689871728,0
545.072,1.0007559642678066,0
545.128,1.0007559595498947,0
545.184,1.0007559548334366,0
545.24,1.0007559501184315,0
545.296,1.000755945404879,0
545.352,1.0007559406927786,0
545.408,1.0007559359821296,0
545.4639999999999,1.0007559312729313,0
545.52,1.0007559265651833,0
545.576,1.0007559218588846,0
545.632,1.0007559171540352,0
545.688,1.000755912450634,0
545.744,1.0007559077486807,0
545.8,1.0007559030481745,0
545.856,1.0007558983491152,0
545.912,1.0007558936515017,0
545.968,1.0007558889553336,0
546.024,1.0007558842606104,0
546.08,1.0007558795673315,0
546.136,1.000755874875496,0
546.192,1.000755870185104,0
546.248,1.0007558654961541,0
546.304,1.0007558608086462,0
546.36,1.0007558561225798,0
546.416,1.0007558514379538,0
546.472,1.000755846754768,0
546.528,1.0007558420730216,0
546.584,1.0007558373927143,0
546.64,1.0007558327138453,0
546.696,1.000755828036414,0
546.752,1.00075582336042,0
546.808,1.0007558186858623,0
546.864,1.0007558140127406,0
546.92,1.0007558093410545,0
546.976,1.0007558046708032,0
547.032,1.000755800001986,0
547.088,1.0007557953346025,0
547.144,1.000755790668652,0
547.2,1.0007557860041338,0
547.256,1.0007557813410477,0
547.312,1.0007557766793929,0
547.368,1.0007557720191687,0
547.424,1.0007557673603744,0
547.48,1.00075576270301,0
547.5360000000001,1.0007557580470743,0
547.592,1.000755753392567,0
547.648,1.0007557487394876,0
547.704,1.0007557440878352,0
547.76,1.0007557394376096,0
547.816,1.0007557347888099,0
547.872,1.0007557301414356,0
547.928,1.0007557254954864,0
547.984,1.0007557208509612,0
548.04,1.0007557162078597,0
548.096,1.0007557115661816,0
548.152,1.0007557069259256,0
548.208,1.0007557022870919,0
548.264,1.0007556976496794,0
548.32,1.0007556930136878,0
548.376,1.0007556883791164,0
548.432,1.0007556837459646,0
548.488,1.0007556791142318,0
548.544,1.0007556744839174,0
548.6,1.000755669855021,0
548.656,1.0007556652275418,0
548.712,1.0007556606014794,0
548.768,1.0007556559768331,0
548.824,1.0007556513536024,0
548.88,1.0007556467317869,0
548.936,1.0007556421113857,0
548.992,1.0007556374923983,0
549.048,1.0007556328748242,0
549.104,1.0007556282586627,0
549.16,1.0007556236439132,0
549.216,1.0007556190305755,0
549.272,1.0007556144186487,0
549.328,1.000755609808132,0
549.384,1.0007556051990254,0
549.44,1.000755600591328,0
549.496,1.0007555959850394,0
549.552,1.0007555913801587,0
549.608,1.0007555867766855,0
549.664,1.0007555821746192,0
549.72,1.0007555775739594,0
549.776,1.0007555729747053,0
549.832,1.0007555683768565,0
549.888,1.0007555637804124,0
549.944,1.0007555591853723,0
550.0,1.0007555545917357,0
550.056,1.000755549999502,0
550.112,1.0007555454086707,0
550.168,1.0007555408192412,0
550.224,1.0007555362312128,0
550.28,1.000755531644585,0
550.336,1.0007555270593576,0
550.392,1.0007555224755296,0
550.448,1.0007555178931005,0
550.504,1.0007555133120696,0
550.56,1.0007555087324367,0
550.616,1.0007555041542011,0
550.672,1.000755499577362,0
550.728,1.000755495001919,0
550.784,1.0007554904278715,0
550.84,1.0007554858552192,0
550.896,1.000755481283961,0
550.952,1.000755476714097,0
551.008,1.0007554721456258,0
551.064,1.0007554675785475,0
551.12,1.0007554630128614,0
551.176,1.0007554584485667,0
551.232,1.0007554538856633,0
551.288,1.0007554493241502,0
551.344,1.0007554447640268,0
551.4,1.0007554402052927,0
551.456,1.0007554356479476,0
551.512,1.0007554310919904,0
551.568,1.000755426537421,0
551.624,1.0007554219842387,0
551.68,1.0007554174324427,0
551.736,1.0007554128820326,0
551.792,1.0007554083330081,0
551.848,1.000755403785368,0
551.904,1.0007553992391125,0
551.96,1.0007553946942407,0
552.016,1.0007553901507518,0
552.072,1.0007553856086455,0
552.128,1.0007553810679213,0
552.184,1.0007553765285784,0
552.24,1.0007553719906164,0
552.296,1.0007553674540346,0
552.352,1.0007553629188328,0
552.408,1.00075535838501,0
552.464,1.000755353852566,0
552.52,1.0007553493214998,0
552.576,1.0007553447918114,0
552.632,1.0007553402634997,0
552.688,1.0007553357365646,0
552.744,1.0007553312110051,0
552.8,1.0007553266868212,0
552.856,1.0007553221640118,0
552.912,1.0007553176425765,0
552.968,1.000755313122515,0
553.024,1.0007553086038266,0
553.08,1.0007553040865105,0
553.136,1.0007552995705664,0
553.192,1.000755295055994,0
553.248,1.0007552905427919,0
553.304,1.0007552860309603,0
553.36,1.0007552815204985,0
553.416,1.0007552770114059,0
553.472,1.000755272503682,0
553.528,1.0007552679973257,0
553.584,1.0007552634923373,0
553.64,1.0007552589887156,0
553.696,1.0007552544864606,0
553.752,1.0007552499855712,0
553.808,1.0007552454860473,0
553.864,1.000755240987888,0
553.92,1.000755236491093,0
553.976,1.0007552319956616,0
554.032,1.0007552275015932,0
554.088,1.0007552230088874,0
554.144,1.0007552185175435,0
554.2,1.000755214027561,0
554.256,1.0007552095389396,0
554.312,1.0007552050516786,0
554.368,1.0007552005657772,0
554.424,1.0007551960812349,0
554.48,1.0007551915980515,0
554.5360000000001,1.0007551871162261,0
554.592,1.0007551826357584,0
554.648,1.0007551781566477,0
554.704,1.0007551736788936,0
554.76,1.0007551692024954,0
554.816,1.0007551647274524,0
554.872,1.0007551602537645,0
554.928,1.0007551557814307,0
554.984,1.000755151310451,0
555.04,1.0007551468408242,0
555.096,1.00075514237255,0
555.152,1.000755137905628,0
555.208,1.0007551334400577,0
555.264,1.0007551289758385,0
555.32,1.0007551245129696,0
555.376,1.0007551200514508,0
555.432,1.0007551155912813,0
555.488,1.0007551111324606,0
