wavelength,n,kappa
529.0,1.363675141180327,3.16566e-09
529.056,1.363672777644116,3.1711911200000055e-09
529.112,1.3636704148591277,3.176722239999989e-09
529.168,1.3636680528250253,3.1822533599999945e-09
529.224,1.363665691541472,3.18778448e-09
529.28,1.3636633310081305,3.1933155999999948e-09
529.336,1.3636609712246648,3.1988467200000002e-09
529.392,1.3636586121907381,3.2043778400000057e-09
529.448,1.3636562539060146,3.2099089600000005e-09
529.504,1.3636538963701583,3.2154400799999948e-09
529.56,1.363651539582833,3.2209711999999895e-09
529.616,1.3636491835437035,3.226502319999995e-09
529.672,1.363646828252434,3.2320334400000005e-09
529.728,1.3636444737086897,3.2375645599999952e-09
529.784,1.3636421199121351,3.2430956800000007e-09
529.84,1.363639766862436,3.248626799999995e-09
529.896,1.363637414559257,3.2541579199999898e-09
529.952,1.363635063002264,3.2596890399999952e-09
530.008,1.3636327121911225,3.2646482400000003e-09
530.064,1.3636303621254988,3.2661759199999988e-09
530.12,1.3636280128050584,3.2677036e-09
530.176,1.363625664229468,3.269231280000002e-09
530.232,1.363623316398394,3.2707589599999974e-09
530.288,1.3636209693115027,3.2722866399999988e-09
530.344,1.3636186229684613,3.2738143200000005e-09
530.4,1.3636162773689369,3.275341999999999e-09
530.456,1.3636139325125962,3.2768696800000003e-09
530.512,1.363611588399107,3.2783973599999988e-09
530.568,1.3636092450281365,3.279925039999997e-09
530.624,1.363606902399353,3.281452719999999e-09
530.68,1.3636045605124238,3.2829803999999974e-09
530.736,1.3636022193670176,3.2845080799999988e-09
530.792,1.3635998789628025,3.2860357600000005e-09
530.848,1.363597539299447,3.287563439999999e-09
530.904,1.3635952003766199,3.2890911200000003e-09
530.96,1.3635928621939895,3.2906187999999987e-09
531.016,1.3635905247512254,3.2890997600000156e-09
531.072,1.3635881880479968,3.279963920000006e-09
531.128,1.3635858520839732,3.270828079999997e-09
531.184,1.3635835168588237,3.2616922400000064e-09
531.24,1.3635811823722186,3.252556399999997e-09
531.296,1.3635788486238278,3.243420559999988e-09
531.352,1.3635765156133213,3.234284720000015e-09
531.408,1.3635741833403694,3.225148880000006e-09
531.464,1.363571851804643,3.216013039999997e-09
531.52,1.3635695210058123,3.2068772000000057e-09
531.576,1.3635671909435487,3.1977413599999967e-09
531.632,1.3635648616175229,3.188605520000006e-09
531.688,1.3635625330274064,3.1794696800000147e-09
531.744,1.3635602051728706,3.1703338400000057e-09
531.8,1.3635578780535869,3.1611980000000145e-09
531.856,1.3635555516692275,3.1520621600000055e-09
531.912,1.363553226019464,3.1429263199999965e-09
531.968,1.363550901103969,3.1337904800000052e-09
532.024,1.3635485769224145,3.1309508000000026e-09
532.08,1.3635462534744731,3.136505999999997e-09
532.136,1.3635439307598178,3.1420611999999915e-09
532.192,1.3635416087781214,3.147616399999997e-09
532.248,1.3635392875290566,3.1531716000000028e-09
532.304,1.3635369670122972,3.1587267999999972e-09
532.36,1.3635346472275165,3.164282000000003e-09
532.416,1.363532328174388,3.1698371999999973e-09
532.472,1.3635300098525858,3.175392399999992e-09
532.528,1.3635276922617834,3.1809475999999974e-09
532.584,1.3635253754016556,3.186502799999992e-09
532.64,1.3635230592718763,3.1920579999999975e-09
532.696,1.3635207438721202,3.1976132000000028e-09
532.752,1.3635184292020621,3.2031683999999972e-09
532.808,1.3635161152613768,3.208723599999992e-09
532.864,1.3635138020497395,3.2142787999999973e-09
532.92,1.3635114895668257,3.219833999999992e-09
532.976,1.36350917781231,3.2253891999999974e-09
533.032,1.3635068667858692,3.2312272800000034e-09
533.088,1.3635045564871782,3.2372775199999974e-09
533.144,1.3635022469159133,3.2433277599999915e-09
533.2,1.3634999380717507,3.2493779999999975e-09
533.256,1.3634976299543666,3.2554282399999915e-09
533.312,1.363495322563438,3.2614784799999976e-09
533.368,1.3634930158986411,3.2675287200000036e-09
533.424,1.3634907099596532,3.2735789599999976e-09
533.48,1.3634884047461509,3.2796292000000036e-09
533.536,1.3634861002578116,3.2856794399999857e-09
533.592,1.363483796494313,3.2917296799999917e-09
533.648,1.3634814934553325,3.2977799199999977e-09
533.704,1.3634791911405482,3.3038301599999918e-09
533.76,1.3634768895496374,3.309880399999998e-09
533.816,1.363474588682279,3.315930640000004e-09
533.872,1.363472288538151,3.321980879999986e-09
533.928,1.3634699891169317,3.3280311199999923e-09
533.984,1.3634676904183,3.3340813599999983e-09
534.04,1.3634653924419347,3.3311212000000082e-09
534.096,1.363463095187515,3.3245568800000018e-09
534.152,1.36346079865472,3.3179925599999953e-09
534.208,1.3634585028432291,3.3114282400000017e-09
534.264,1.363456207752722,3.304863920000008e-09
534.32,1.363453913382878,3.2982996000000016e-09
534.376,1.3634516197333777,3.291735280000008e-09
534.432,1.3634493268039005,3.2851709600000015e-09
534.488,1.3634470345941274,3.278606639999995e-09
534.544,1.3634447431037384,3.2720423200000014e-09
534.6,1.3634424523324142,3.265477999999995e-09
534.656,1.363440162279836,3.258913680000014e-09
534.712,1.3634378729456842,3.2523493600000077e-09
