wavelength,n,kappa
529.0,1.361490956854419,0
529.56,1.3614646066902119,0
530.12,1.361438346802607,0
530.68,1.3614121767748686,0
531.24,1.3613860961926825,0
531.8,1.361360104644139,0
532.36,1.3613342017197172,0
532.92,1.3613083870122669,0
533.48,1.3612826601169927,0
534.04,1.361257020631438,0
534.6,1.361231468155468,0
535.16,1.3612060022912538,0
535.72,1.3611806226432561,0
536.28,1.3611553288182108,0
536.84,1.3611301204251105,0
537.4,1.3611049970751916,0
537.96,1.3610799583819173,0
538.52,1.3610550039609628,0
539.08,1.3610301334301993,0
539.64,1.3610053464096799,0
540.2,1.3609806425216235,0
540.76,1.3609560213904015,0
541.32,1.3609314826425212,0
541.88,1.3609070259066123,0
542.44,1.3608826508134118,0
543.0,1.3608583569957502,0
543.56,1.3608341440885363,0
544.12,1.3608100117287447,0
544.68,1.3607859595553995,0
545.24,1.3607619872095613,0
545.8,1.3607380943343146,0
546.36,1.360714280574752,0
546.92,1.3606905455779617,0
547.48,1.3606668889930138,0
548.04,1.3606433104709472,0
548.6,1.3606198096647555,0
549.16,1.3605963862293748,0
549.72,1.3605730398216693,0
550.28,1.3605497701004199,0
550.84,1.3605265767263097,0
551.4,1.3605034593619125,0
551.96,1.3604804176716796,0
552.52,1.3604574513219267,0
553.08,1.3604345599808225,0
553.64,1.3604117433183758,0
554.2,1.3603890010064221,0
554.76,1.3603663327186135,0
555.32,1.3603437381304049,0
555.88,1.3603212169190428,0
556.44,1.3602987687635535,0
557.0,1.3602763933447302,0
557.56,1.3602540903451226,0
558.12,1.3602318594490244,0
558.68,1.3602097003424622,0
559.24,1.3601876127131836,0
559.8,1.3601655962506463,0
560.36,1.3601436506460067,0
560.92,1.3601217755921085,0
561.48,1.3600999707834711,0
562.04,1.3600782359162802,0
562.6,1.360056570688375,0
563.16,1.3600349747992384,0
563.72,1.360013447949986,0
564.28,1.3599919898433557,0
564.84,1.359970600183696,0
565.4,1.3599492786769567,0
565.96,1.3599280250306787,0
566.52,1.3599068389539812,0
567.08,1.359885720157555,0
567.64,1.359864668353649,0
568.2,1.3598436832560623,0
568.76,1.359822764580133,0
569.32,1.3598019120427285,0
569.88,1.3597811253622363,0
570.44,1.3597604042585525,0
571.0,1.3597397484530735,0
571.56,1.359719157668686,0
572.12,1.3596986316297575,0
572.6800000000001,1.3596781700621259,0
573.24,1.359657772693091,0
573.8,1.359637439251405,0
574.36,1.3596171694672623,0
574.92,1.3595969630722917,0
575.48,1.359576819799546,0
576.04,1.3595567393834929,0
576.6,1.359536721560007,0
577.16,1.35951676606636,0
577.72,1.3594968726412118,0
578.28,1.3594770410246022,0
578.84,1.3594572709579409,0
579.4,1.3594375621840007,0
579.96,1.3594179144469067,0
580.52,1.35939832749213,0
581.08,1.3593788010664767,0
581.64,1.3593593349180817,0
582.2,1.3593399287963988,0
582.76,1.3593205824521928,0
583.32,1.3593012956375319,0
583.88,1.3592820681057782,0
584.44,1.3592628996115808,0
585.0,1.3592437899108667,0
