wavelength,n,kappa
529.0,1.3795227888576322,0
530.12,1.3794630258624239,0
531.24,1.379403627689224,0
532.36,1.3793445913365132,0
533.48,1.3792859138344242,0
534.6,1.379227592244325,0
535.72,1.37916962365841,0
536.84,1.3791120051992953,0
537.96,1.379054734019623,0
539.08,1.3789978073016704,0
540.2,1.3789412222569646,0
541.32,1.3788849761259054,0
542.44,1.378829066177393,0
543.56,1.3787734897084611,0
544.68,1.3787182440439165,0
545.8,1.3786633265359847,0
546.92,1.378608734563959,0
548.04,1.3785544655338584,0
549.16,1.378500516878087,0
550.28,1.3784468860551027,0
551.4,1.378393570549087,0
552.52,1.3783405678696228,0
553.64,1.3782878755513754,0
554.76,1.3782354911537813,0
555.88,1.3781834122607355,0
557.0,1.3781316364802918,0
558.12,1.3780801614443605,0
559.24,1.378028984808415,0
560.36,1.3779781042512012,0
561.48,1.3779275174744507,0
562.6,1.3778772222026001,0
563.72,1.3778272161825131,0
564.84,1.3777774971832062,0
565.96,1.3777280629955806,0
567.08,1.3776789114321564,0
568.2,1.3776300403268102,0
569.32,1.3775814475345187,0
570.44,1.3775331309311045,0
571.56,1.3774850884129848,0
572.6800000000001,1.3774373178969268,0
573.8,1.3773898173198034,0
574.92,1.3773425846383536,0
576.04,1.377295617828948,0
577.16,1.3772489148873548,0
578.28,1.3772024738285105,0
579.4,1.3771562926862955,0
580.52,1.3771103695133096,0
581.64,1.3770647023806535,0
582.76,1.3770192893777118,0
583.88,1.37697412861194,0
585.0,1.376929218208654,0
