wavelength,n,kappa
529.0,1.4225630952903945,0
530.12,1.4225092762496516,0
531.24,1.4224559292576873,0
532.36,1.422403048364058,0
533.48,1.4223506277129963,0
534.6,1.4222986615416262,0
535.72,1.4222471441782196,0
536.84,1.4221960700404868,0
537.96,1.4221454336339052,0
539.08,1.422095229550083,0
540.2,1.4220454524651591,0
541.32,1.4219960971382342,0
542.44,1.4219471584098373,0
543.56,1.4218986312004236,0
544.68,1.4218505105089037,0
545.8,1.4218027914112046,0
546.92,1.4217554690588603,0
548.04,1.4217085386776307,0
549.16,1.4216619955661511,0
550.28,1.4216158350946093,0
551.4,1.4215700527034494,0
552.52,1.4215246439021019,0
553.64,1.4214796042677416,0
554.76,1.4214349294440718,0
555.88,1.4213906151401285,0
557.0,1.4213466571291162,0
558.12,1.4213030512472613,0
559.24,1.4212597933926918,0
560.36,1.4212168795243405,0
561.48,1.4211743056608694,0
562.6,1.4211320678796129,0
563.72,1.4210901623155494,0
564.84,1.4210485851602859,0
565.96,1.421007332661069,0
567.08,1.420966401119812,0
568.2,1.4209257868921426,0
569.32,1.4208854863864708,0
570.44,1.4208454960630732,0
571.56,1.4208058124331964,0
572.6800000000001,1.42076643205818,0
573.8,1.4207273515485936,0
574.92,1.420688567563393,0
576.04,1.4206500768090924,0
577.16,1.4206118760389528,0
578.28,1.4205739620521876,0
579.4,1.4205363316931805,0
580.52,1.4204989818507225,0
581.64,1.4204619094572608,0
582.76,1.4204251114881636,0
583.88,1.4203885849609998,0
585.0,1.4203523269348302,0
