wavelength,n,kappa
529.0,1.5014808230889507,0
529.056,1.501474206423791,0
529.112,1.5014675923749383,0
529.168,1.5014609809408679,0
529.224,1.5014543721200573,0
529.28,1.501447765910983,0
529.336,1.5014411623121247,0
529.392,1.501434561321962,0
529.448,1.5014279629389766,0
529.504,1.5014213671616505,0
529.56,1.5014147739884678,0
529.616,1.5014081834179127,0
529.672,1.5014015954484714,0
529.728,1.501395010078631,0
529.784,1.50138842730688,0
529.84,1.5013818471317075,0
529.896,1.501375269551604,0
529.952,1.5013686945650615,0
530.008,1.5013621221705729,0
530.064,1.5013555523666324,0
530.12,1.501348985151735,0
530.176,1.5013424205243775,0
530.232,1.5013358584830567,0
530.288,1.501329299026272,0
530.344,1.5013227421525233,0
530.4,1.501316187860311,0
530.456,1.501309636148138,0
530.512,1.5013030870145074,0
530.568,1.5012965404579235,0
530.624,1.5012899964768922,0
530.68,1.50128345506992,0
530.736,1.5012769162355148,0
530.792,1.5012703799721863,0
530.848,1.5012638462784442,0
530.904,1.5012573151528,0
530.96,1.5012507865937663,0
531.016,1.5012442605998566,0
531.072,1.501237737169586,0
531.128,1.5012312163014698,0
531.184,1.5012246979940258,0
531.24,1.5012181822457722,0
531.296,1.5012116690552277,0
531.352,1.5012051584209134,0
531.408,1.501198650341351,0
531.464,1.5011921448150627,0
531.52,1.501185641840573,0
531.576,1.5011791414164064,0
531.632,1.5011726435410897,0
531.688,1.5011661482131498,0
531.744,1.501159655431115,0
531.8,1.501153165193515,0
531.856,1.5011466774988809,0
531.912,1.501140192345744,0
531.968,1.501133709732637,0
532.024,1.5011272296580944,0
532.08,1.5011207521206515,0
532.136,1.5011142771188444,0
532.192,1.5011078046512107,0
532.248,1.5011013347162885,0
532.304,1.5010948673126179,0
532.36,1.5010884024387394,0
532.416,1.501081940093195,0
532.472,1.5010754802745279,0
532.528,1.5010690229812818,0
532.584,1.5010625682120025,0
532.64,1.5010561159652358,0
532.696,1.5010496662395294,0
532.752,1.501043219033432,0
532.808,1.501036774345493,0
532.864,1.501030332174264,0
532.92,1.5010238925182957,0
532.976,1.5010174553761417,0
533.032,1.5010110207463563,0
533.088,1.5010045886274943,0
533.144,1.5009981590181123,0
533.2,1.5009917319167678,0
533.256,1.500985307322019,0
533.312,1.5009788852324257,0
533.368,1.5009724656465486,0
533.424,1.5009660485629497,0
533.48,1.5009596339801914,0
533.536,1.5009532218968384,0
533.592,1.5009468123114553,0
533.648,1.5009404052226083,0
533.704,1.500934000628865,0
533.76,1.5009275985287938,0
533.816,1.5009211989209639,0
533.872,1.5009148018039458,0
533.928,1.5009084071763115,0
533.984,1.5009020150366337,0
534.04,1.500895625383486,0
534.096,1.5008892382154433,0
534.152,1.5008828535310816,0
534.208,1.5008764713289788,0
534.264,1.5008700916077118,0
534.32,1.5008637143658605,0
534.376,1.5008573396020055,0
534.432,1.5008509673147274,0
534.488,1.5008445975026095,0
534.544,1.500838230164235,0
534.6,1.5008318652981885,0
534.656,1.5008255029030557,0
534.712,1.5008191429774236,0
534.768,1.5008127855198796,0
534.824,1.5008064305290136,0
534.88,1.5008000780034148,0
534.936,1.5007937279416743,0
534.992,1.5007873803423846,0
535.048,1.5007810352041384,0
535.104,1.5007746925255308,0
535.16,1.5007683523051565,0
535.216,1.5007620145416123,0
535.272,1.500755679233495,0
535.328,1.5007493463794044,0
535.384,1.500743015977939,0
535.44,1.5007366880276996,0
535.496,1.5007303625272885,0
535.552,1.5007240394753083,0
535.608,1.5007177188703626,0
535.664,1.5007114007110565,0
535.72,1.5007050849959958,0
535.776,1.5006987717237878,0
535.832,1.50069246089304,0
535.888,1.5006861525023625,0
535.944,1.5006798465503648,0
536.0,1.5006735430356584,0
536.056,1.5006672419568552,0
536.112,1.500660943312569,0
536.168,1.5006546471014137,0
536.224,1.5006483533220056,0
536.28,1.5006420619729604,0
536.336,1.5006357730528959,0
536.392,1.5006294865604306,0
536.448,1.5006232024941843,0
536.504,1.5006169208527773,0
536.56,1.5006106416348317,0
536.616,1.50060436483897,0
