wavelength,n,kappa
529.0,1.5022410910315174,1.06504e-08
529.056,1.5022349137171458,1.0656252000000005e-08
529.112,1.502228738521026,1.0662103999999988e-08
529.168,1.5022225654421726,1.0667955999999994e-08
529.224,1.5022163944795994,1.0673808e-08
529.28,1.5022102256323229,1.0679659999999995e-08
529.336,1.5022040588993584,1.0685512e-08
529.392,1.5021978942797225,1.0691364000000006e-08
529.448,1.5021917317724325,1.0697216e-08
529.504,1.5021855713765062,1.0703067999999995e-08
529.56,1.5021794130909614,1.070891999999999e-08
529.616,1.5021732569148172,1.0714771999999995e-08
529.672,1.5021671028470929,1.0720624000000001e-08
529.728,1.5021609508868088,1.0726475999999996e-08
529.784,1.5021548010329853,1.0732328000000002e-08
529.84,1.5021486532846435,1.0738179999999996e-08
529.896,1.5021425076408053,1.0744031999999989e-08
529.952,1.502136364100493,1.0749883999999995e-08
530.008,1.5021302226627293,1.0756414400000002e-08
530.064,1.502124083326538,1.0767015199999991e-08
530.12,1.5021179460909428,1.0777616000000002e-08
530.176,1.5021118109549687,1.0788216800000013e-08
530.232,1.5021056779176405,1.0798817599999981e-08
530.288,1.5020995469779843,1.0809418399999992e-08
530.344,1.5020934181350265,1.0820019200000001e-08
530.4,1.5020872913877934,1.0830619999999993e-08
530.456,1.5020811667353133,1.0841220800000002e-08
530.512,1.502075044176614,1.0851821599999991e-08
530.568,1.5020689237107239,1.086242239999998e-08
530.624,1.5020628053366725,1.0873023199999992e-08
530.68,1.5020566890534894,1.0883623999999981e-08
530.736,1.5020505748602053,1.0894224799999992e-08
530.792,1.5020444627558507,1.0904825600000003e-08
530.848,1.5020383527394574,1.0915426399999992e-08
530.904,1.5020322448100574,1.0926027200000002e-08
530.96,1.5020261389666831,1.0936627999999991e-08
531.016,1.5020200352083681,1.093233760000007e-08
531.072,1.502013933534146,1.0890819200000028e-08
531.128,1.5020078339430512,1.0849300799999987e-08
531.184,1.5020017364341187,1.0807782400000028e-08
531.24,1.501995641006384,1.0766263999999987e-08
531.296,1.5019895476588827,1.0724745599999945e-08
531.352,1.501983456390652,1.0683227200000068e-08
531.408,1.5019773672007288,1.0641708800000027e-08
531.464,1.5019712800881513,1.0600190399999985e-08
531.52,1.5019651950519572,1.0558672000000027e-08
531.576,1.5019591120911855,1.0517153599999984e-08
531.632,1.501953031204876,1.0475635200000025e-08
531.688,1.5019469523920685,1.0434116800000066e-08
531.744,1.5019408756518038,1.0392598400000025e-08
531.8,1.5019348009831226,1.0351080000000065e-08
531.856,1.501928728385067,1.0309561600000023e-08
531.912,1.5019226578566793,1.0268043199999982e-08
531.968,1.5019165893970021,1.0226524800000023e-08
532.024,1.501910523005079,1.0195116399999992e-08
532.08,1.501904458679954,1.017718800000001e-08
532.136,1.5018983964206714,1.0159259600000027e-08
532.192,1.5018923362262762,1.014133120000001e-08
532.248,1.5018862780958142,1.0123402799999992e-08
532.304,1.501880222028332,1.0105474400000009e-08
532.36,1.5018741680228758,1.0087545999999992e-08
532.416,1.5018681160784932,1.0069617600000009e-08
532.472,1.5018620661942321,1.0051689200000026e-08
532.528,1.5018560183691407,1.0033760800000009e-08
532.584,1.5018499726022685,1.0015832400000026e-08
532.64,1.5018439288926644,9.997904000000009e-09
532.696,1.501837887239379,9.979975599999991e-09
532.752,1.501831847641463,9.962047200000009e-09
532.808,1.5018258100979673,9.944118800000026e-09
532.864,1.501819774607944,9.926190400000008e-09
532.92,1.5018137411704453,9.908262000000026e-09
532.976,1.5018077097845242,9.890333600000008e-09
533.032,1.501801680449234,9.90092040000002e-09
533.088,1.5017956531636287,9.932893599999988e-09
533.144,1.501789627926763,9.964866799999956e-09
533.2,1.5017836047376922,9.996839999999989e-09
533.256,1.5017775835954716,1.0028813199999957e-08
533.312,1.5017715644991578,1.0060786399999988e-08
533.368,1.501765547447807,1.009275960000002e-08
533.424,1.5017595324404773,1.0124732799999989e-08
533.48,1.501753519476226,1.0156706000000022e-08
533.536,1.5017475085541119,1.0188679199999925e-08
533.592,1.5017414996731935,1.0220652399999958e-08
533.648,1.5017354928325308,1.0252625599999989e-08
533.704,1.501729488031184,1.0284598799999959e-08
533.76,1.501723485268213,1.031657199999999e-08
533.816,1.50171748454268,1.0348545200000023e-08
533.872,1.501711485853646,1.0380518399999928e-08
533.928,1.5017054892001735,1.0412491599999959e-08
533.984,1.5016994945813253,1.0444464799999992e-08
534.04,1.501693501996165,1.044246400000002e-08
534.096,1.5016875114437562,1.0426873600000004e-08
534.152,1.5016815229231637,1.0411283199999989e-08
534.208,1.5016755364334522,1.0395692800000004e-08
534.264,1.5016695519736878,1.0380102400000019e-08
534.32,1.501663569542936,1.0364512000000004e-08
534.376,1.5016575891402637,1.0348921600000019e-08
534.432,1.5016516107647384,1.0333331200000004e-08
534.488,1.5016456344154274,1.0317740799999987e-08
534.544,1.5016396600913993,1.0302150400000003e-08
534.6,1.5016336877917227,1.0286559999999987e-08
534.656,1.5016277175154673,1.0270969600000033e-08
534.712,1.5016217492617028,1.0255379200000018e-08
534.768,1.5016157830294998,1.0239788800000002e-08
534.824,1.5016098188179294,1.0224198400000018e-08
534.88,1.5016038566260625,1.0208608000000001e-08
534.936,1.5015978964529724,1.0193017599999986e-08
534.992,1.5015919382977307,1.0177427200000033e-08
535.048,1.5015859821594113,1.0153590400000028e-08
535.104,1.5015800280370872,1.0128379200000003e-08
535.16,1.5015740759298333,1.0103168000000027e-08
535.216,1.5015681258367242,1.0077956800000002e-08
535.272,1.501562177756835,1.0052745599999978e-08
535.328,1.501556231689242,1.0027534400000001e-08
535.384,1.5015502876330213,1.0002323200000026e-08
535.44,1.50154434558725,9.977112000000002e-09
535.496,1.5015384055510057,9.951900800000027e-09
535.552,1.501532467523366,9.9266896e-09
535.608,1.5015265315034103,9.901478400000026e-09
535.664,1.501520597490217,9.876267200000001e-09
535.72,1.501514665482866,9.851056000000026e-09
535.776,1.5015087354804375,9.82584480000005e-09
535.832,1.501502807482012,9.800633600000025e-09
535.888,1.501496881486671,9.7754224e-09
535.944,1.5014909574934963,9.750211200000024e-09
536.0,1.50148503550157,9.725e-09
536.056,1.5014791155099751,9.702085919999977e-09
536.112,1.501473197517795,9.679171840000044e-09
536.168,1.5014672815241141,9.656257760000022e-09
536.224,1.5014613675280162,9.633343679999998e-09
536.28,1.5014554555285862,9.610429600000021e-09
536.336,1.5014495455249102,9.587515519999999e-09
536.392,1.5014436375160738,9.564601439999975e-09
536.448,1.501437731501164,9.541687360000044e-09
536.504,1.5014318274792675,9.51877328000002e-09
536.56,1.5014259254494724,9.495859200000042e-09
536.616,1.5014200254108665,9.47294512000002e-09
536.672,1.5014141273625385,9.450031039999998e-09
536.728,1.501408231303578,9.42711696000002e-09
536.784,1.5014023372330745,9.404202879999997e-09
536.84,1.5013964451501185,9.381288800000019e-09
536.896,1.5013905550538005,9.358374720000042e-09
536.952,1.501384666943212,9.33546064000002e-09
537.008,1.5013787808174452,9.313218719999997e-09
537.064,1.5013728966755924,9.295009760000015e-09
537.12,1.5013670145167461,9.276800799999997e-09
537.176,1.5013611343400002,9.258591839999979e-09
537.232,1.5013552561444485,9.240382880000032e-09
537.288,1.5013493799291857,9.222173920000014e-09
537.344,1.5013435056933067,9.203964959999995e-09
537.4,1.501337633435907,9.185756000000014e-09
537.456,1.501331763156083,9.167547039999995e-09
537.512,1.5013258948529309,9.149338080000014e-09
537.568,1.5013200285255484,9.131129120000032e-09
537.624,1.5013141641730323,9.112920160000014e-09
537.68,1.501308301794482,9.094711200000032e-09
537.736,1.501302441388995,9.076502240000014e-09
537.792,1.5012965829556715,9.058293279999995e-09
537.848,1.5012907264936106,9.040084320000014e-09
537.904,1.5012848720019132,9.021875359999995e-09
537.96,1.5012790194796792,9.003666400000014e-09
538.016,1.5012731689260108,8.988182240000015e-09
538.072,1.5012673203400095,8.979510080000006e-09
538.128,1.5012614737207777,8.970837919999997e-09
538.184,1.5012556290674184,8.962165760000007e-09
538.24,1.5012497863790346,8.953493599999998e-09
538.296,1.5012439456547306,8.944821440000005e-09
538.352,1.501238106893611,8.936149280000015e-09
538.408,1.50123227009478,8.927477120000006e-09
538.464,1.5012264352573441,8.918804959999997e-09
538.52,1.5012206023804084,8.910132800000006e-09
538.576,1.5012147714630801,8.901460639999997e-09
538.632,1.501208942504466,8.892788480000005e-09
538.688,1.5012031155036734,8.884116320000014e-09
538.744,1.5011972904598108,8.875444160000005e-09
538.8,1.5011914673719864,8.866772000000014e-09
538.856,1.5011856462393094,8.858099840000005e-09
538.912,1.5011798270608896,8.849427679999996e-09
538.968,1.5011740098358368,8.840755520000004e-09
539.024,1.501168194563262,8.836193599999998e-09
539.08,1.5011623812422763,8.837112e-09
539.136,1.5011565698719913,8.838030399999998e-09
539.192,1.501150760451519,8.838948799999999e-09
539.248,1.5011449529799725,8.8398672e-09
539.304,1.5011391474564646,8.840785599999999e-09
539.36,1.5011333438801093,8.841704e-09
539.416,1.5011275422500208,8.842622399999999e-09
539.472,1.5011217425653136,8.843540799999999e-09
539.528,1.5011159448251035,8.844459199999999e-09
539.584,1.5011101490285057,8.845377599999999e-09
539.64,1.5011043551746366,8.846295999999999e-09
539.696,1.5010985632626133,8.8472144e-09
539.752,1.501092773291553,8.848132799999997e-09
539.808,1.5010869852605733,8.849051199999998e-09
539.864,1.5010811991687927,8.8499696e-09
539.92,1.50107541501533,8.850887999999998e-09
539.976,1.5010696327993045,8.8518064e-09
540.032,1.501063852519836,8.85134688e-09
540.088,1.501058074176045,8.849853920000001e-09
540.144,1.5010522977670524,8.848360960000002e-09
540.2,1.5010465232919794,8.846868e-09
540.256,1.5010407507499477,8.845375040000002e-09
540.312,1.5010349801400802,8.84388208e-09
540.368,1.5010292114614994,8.842389119999999e-09
540.424,1.5010234447133288,8.84089616e-09
540.48,1.5010176798946924,8.839403199999998e-09
540.536,1.5010119170047145,8.837910240000003e-09
540.592,1.5010061560425199,8.836417280000002e-09
540.648,1.5010003970072343,8.83492432e-09
540.704,1.5009946398979832,8.833431360000001e-09
540.76,1.5009888847138935,8.8319384e-09
540.816,1.5009831314540918,8.83044544e-09
540.872,1.5009773801177058,8.828952480000003e-09
540.928,1.500971630703863,8.82745952e-09
540.984,1.5009658832116923,8.82596656e-09
541.04,1.500960137640322,8.802039200000042e-09
541.096,1.5009543939888825,8.769138080000009e-09
541.152,1.500948652256503,8.736236959999977e-09
541.208,1.5009429124423144,8.703335840000009e-09
541.264,1.5009371745454472,8.67043472000004e-09
541.32,1.5009314385650327,8.637533600000008e-09
541.376,1.5009257045002034,8.60463248000004e-09
541.432,1.5009199723500914,8.571731360000007e-09
541.488,1.50091424211383,8.538830239999975e-09
541.544,1.500908513790552,8.505929120000007e-09
541.6,1.500902787379392,8.47302800000004e-09
541.656,1.500897062879484,8.440126880000072e-09
541.712,1.5008913402899628,8.407225760000038e-09
541.768,1.5008856196099645,8.374324640000006e-09
541.824,1.5008799008386244,8.341423520000039e-09
541.88,1.500874183975079,8.308522400000005e-09
541.936,1.5008684690184655,8.275621279999973e-09
541.992,1.500862755967921,8.24272016000007e-09
542.048,1.5008570448225838,8.259490399999972e-09
542.104,1.500851335581592,8.284539199999998e-09
542.16,1.5008456282440843,8.309587999999973e-09
542.216,1.5008399228092006,8.334636799999998e-09
542.272,1.5008342192760804,8.359685600000022e-09
542.328,1.5008285176438645,8.384734399999949e-09
542.384,1.5008228179116931,8.409783199999973e-09
542.44,1.500817120078708,8.434831999999998e-09
542.496,1.500811424144051,8.459880799999975e-09
542.552,1.5008057301068647,8.484929599999999e-09
542.608,1.5008000379662916,8.509978399999975e-09
542.664,1.500794347721475,8.535027199999999e-09
542.72,1.500788659371559,8.560075999999975e-09
542.776,1.5007829729156876,8.585124799999951e-09
542.832,1.500777288353006,8.610173599999975e-09
542.888,1.500771605682659,8.6352224e-09
542.944,1.500765924903793,8.660271199999975e-09
543.0,1.5007602460155538,8.68532e-09
543.056,1.5007545690170883,8.65470087999997e-09
543.112,1.5007488939075435,8.624081760000061e-09
543.168,1.500743220686068,8.59346264000003e-09
543.224,1.5007375493518091,8.56284352e-09
543.28,1.5007318799039158,8.53222440000003e-09
543.336,1.5007262123415377,8.50160528e-09
543.392,1.5007205466638238,8.470986159999968e-09
543.448,1.5007148828699248,8.440367040000058e-09
543.504,1.5007092209589912,8.409747920000029e-09
543.56,1.5007035609301744,8.379128800000058e-09
543.616,1.5006979027826257,8.348509680000029e-09
543.672,1.500692246515497,8.317890559999998e-09
543.728,1.5006865921279415,8.287271440000028e-09
543.784,1.5006809396191123,8.256652319999997e-09
543.84,1.5006752889881625,8.226033200000027e-09
543.896,1.5006696402342465,8.195414080000056e-09
543.952,1.500663993356519,8.164794960000025e-09
544.008,1.5006583483541343,8.136934879999998e-09
544.064,1.5006527052262486,8.12562904000001e-09
544.12,1.5006470639720177,8.114323199999998e-09
544.176,1.5006414245905981,8.10301736000001e-09
544.232,1.5006357870811469,8.09171152000002e-09
544.288,1.500630151442821,8.080405680000009e-09
544.344,1.5006245176747792,8.069099839999997e-09
544.4,1.5006188857761793,8.057794000000009e-09
544.456,1.5006132557461802,8.046488159999997e-09
544.512,1.5006076275839415,8.035182320000009e-09
544.568,1.5006020012886228,8.02387648000002e-09
544.624,1.5005963768593846,8.012570640000008e-09
544.68,1.5005907542953878,8.00126480000002e-09
544.736,1.5005851335957936,7.989958960000008e-09
544.792,1.5005795147597636,7.978653119999996e-09
544.848,1.5005738977864602,7.967347280000008e-09
544.904,1.5005682826750464,7.95604144000002e-09
544.96,1.5005626694246847,7.944735600000008e-09
545.016,1.5005570580345393,7.94175935999997e-09
545.072,1.5005514485037745,7.959607119999987e-09
545.128,1.5005458408315544,7.977454880000006e-09
545.184,1.5005402350170445,7.995302639999988e-09
545.24,1.5005346310594103,8.013150400000005e-09
545.296,1.500529028957818,8.030998159999988e-09
545.352,1.5005234287114337,8.04884591999997e-09
545.408,1.5005178303194249,8.066693679999989e-09
545.4639999999999,1.5005122337809587,8.084541439999972e-09
545.52,1.5005066390952033,8.102389199999989e-09
545.576,1.500501046261327,8.120236960000006e-09
545.632,1.5004954552784993,8.138084719999954e-09
545.688,1.5004898661458885,8.155932479999971e-09
545.744,1.5004842788626653,8.17378023999999e-09
545.8,1.5004786934279999,8.191627999999972e-09
545.856,1.5004731098410626,8.20947575999999e-09
545.912,1.5004675281010253,8.227323520000008e-09
545.968,1.5004619482070594,8.24517127999999e-09
