wavelength,n,kappa
500.0,1.5257212244456497,0
500.1,1.5257110099545972,0
500.2,1.5257008019999563,0
500.3,1.5256906005760655,0
500.4,1.52568040567727,0
500.5,1.525670217297921,0
500.6,1.5256600354323757,0
500.7,1.5256498600749977,0
500.8,1.5256396912201566,0
500.9,1.5256295288622284,0
501.0,1.525619372995595,0
501.1,1.5256092236146448,0
501.2,1.525599080713772,0
501.3,1.5255889442873773,0
501.4,1.5255788143298674,0
501.5,1.525568690835655,0
501.6,1.5255585737991584,0
501.7,1.5255484632148035,0
501.8,1.5255383590770208,0
501.9,1.525528261380248,0
502.0,1.5255181701189278,0
502.1,1.5255080852875098,0
502.2,1.5254980068804493,0
502.3,1.5254879348922084,0
502.4,1.5254778693172537,0
502.5,1.5254678101500596,0
502.6,1.525457757385105,0
502.7,1.5254477110168758,0
502.8,1.525437671039864,0
502.9,1.5254276374485671,0
503.0,1.5254176102374886,0
503.1,1.525407589401138,0
503.2,1.5253975749340316,0
503.3,1.5253875668306907,0
503.4,1.5253775650856427,0
503.5,1.5253675696934215,0
503.6,1.5253575806485666,0
503.7,1.5253475979456235,0
503.8,1.5253376215791432,0
503.9,1.5253276515436838,0
504.0,1.5253176878338082,0
504.1,1.5253077304440854,0
504.2,1.525297779369091,0
504.3,1.5252878346034058,0
504.4,1.5252778961416165,0
504.5,1.5252679639783162,0
504.6,1.5252580381081033,0
504.7,1.5252481185255828,0
504.8,1.5252382052253648,0
504.9,1.5252282982020655,0
505.0,1.525218397450307,0
505.1,1.5252085029647178,0
505.2,1.5251986147399312,0
505.3,1.5251887327705866,0
505.4,1.52517885705133,0
505.5,1.5251689875768122,0
505.6,1.5251591243416907,0
505.7,1.5251492673406275,0
505.8,1.525139416568292,0
505.9,1.5251295720193587,0
506.0,1.5251197336885074,0
506.1,1.5251099015704237,0
506.2,1.5251000756597999,0
506.3,1.5250902559513333,0
506.4,1.5250804424397268,0
506.5,1.5250706351196897,0
506.6,1.5250608339859364,0
506.7,1.5250510390331873,0
506.8,1.5250412502561685,0
506.9,1.5250314676496117,0
507.0,1.5250216912082546,0
507.1,1.52501192092684,0
507.2,1.5250021568001169,0
507.3,1.5249923988228398,0
507.4,1.524982646989769,0
507.5,1.52497290129567,0
507.6,1.5249631617353145,0
507.7,1.52495342830348,0
507.8,1.5249437009949487,0
507.9,1.5249339798045092,0
508.0,1.5249242647269554,0
508.1,1.524914555757087,0
508.2,1.5249048528897093,0
508.3,1.5248951561196333,0
508.4,1.524885465441675,0
508.5,1.5248757808506566,0
508.6,1.5248661023414058,0
508.7,1.5248564299087557,0
508.8,1.524846763547545,0
508.9,1.5248371032526178,0
509.0,1.524827449018824,0
509.1,1.5248178008410194,0
509.2,1.5248081587140643,0
509.3,1.5247985226328253,0
509.4,1.5247888925921744,0
509.5,1.5247792685869892,0
509.6,1.5247696506121524,0
509.7,1.5247600386625526,0
509.8,1.5247504327330839,0
509.9,1.5247408328186451,0
510.0,1.5247312389141419,0
510.1,1.5247216510144843,0
510.2,1.524712069114588,0
510.3,1.5247024932093742,0
510.4,1.5246929232937703,0
510.5,1.5246833593627078,0
510.6,1.5246738014111247,0
510.7,1.524664249433964,0
510.8,1.524654703426174,0
510.9,1.5246451633827085,0
511.0,1.5246356292985268,0
511.1,1.5246261011685938,0
511.2,1.5246165789878796,0
511.3,1.524607062751359,0
511.4,1.5245975524540138,0
511.5,1.5245880480908296,0
511.6,1.5245785496567978,0
511.7,1.5245690571469157,0
511.8,1.5245595705561854,0
511.9,1.5245500898796147,0
512.0,1.5245406151122165,0
512.1,1.5245311462490083,0
512.2,1.5245216832850148,0
512.3,1.5245122262152642,0
512.4,1.5245027750347913,0
512.5,1.5244933297386347,0
512.6,1.52448389032184,0
512.7,1.524474456779457,0
512.8,1.5244650291065414,0
512.9,1.524455607298153,0
513.0,1.5244461913493588,0
513.1,1.524436781255229,0
513.2,1.5244273770108407,0
513.3,1.5244179786112753,0
513.4,1.5244085860516197,0
513.5,1.5243991993269659,0
513.6,1.5243898184324118,0
513.7,1.5243804433630594,0
513.8,1.5243710741140166,0
513.9,1.5243617106803968,0
514.0,1.5243523530573178,0
514.1,1.5243430012399029,0
514.2,1.5243336552232811,0
514.3,1.5243243150025858,0
514.4,1.5243149805729563,0
514.5,1.5243056519295362,0
514.6,1.5242963290674754,0
514.7,1.5242870119819276,0
514.8,1.5242777006680526,0
514.9,1.5242683951210154,0
515.0,1.5242590953359854,0
515.1,1.5242498013081378,0
515.2,1.5242405130326526,0
515.3,1.5242312305047148,0
515.4,1.524221953719515,0
515.5,1.5242126826722482,0
515.6,1.5242034173581154,0
515.7,1.5241941577723215,0
515.8,1.5241849039100777,0
515.9,1.5241756557665993,0
516.0,1.5241664133371073,0
516.1,1.5241571766168276,0
516.2,1.524147945600991,0
516.3,1.524138720284833,0
516.4,1.5241295006635955,0
516.5,1.5241202867325236,0
516.6,1.524111078486869,0
516.7,1.5241018759218876,0
516.8,1.52409267903284,0
516.9,1.524083487814993,0
517.0,1.524074302263617,0
517.1,1.5240651223739883,0
517.2,1.5240559481413885,0
517.3,1.5240467795611026,0
517.4,1.5240376166284226,0
517.5,1.524028459338644,0
517.6,1.5240193076870678,0
517.7,1.524010161669,0
517.8,1.5240010212797515,0
517.9,1.523991886514638,0
518.0,1.5239827573689801,0
518.1,1.5239736338381038,0
518.2,1.5239645159173394,0
518.3,1.5239554036020226,0
518.4,1.523946296887494,0
518.5,1.5239371957690984,0
518.6,1.5239281002421865,0
518.7,1.5239190103021132,0
518.8,1.5239099259442388,0
518.9,1.5239008471639277,0
519.0,1.52389177395655,0
519.1,1.5238827063174802,0
519.2,1.5238736442420984,0
519.3,1.5238645877257881,0
519.4,1.5238555367639388,0
519.5,1.523846491351945,0
519.6,1.5238374514852047,0
519.7,1.5238284171591223,0
519.8,1.5238193883691062,0
519.9,1.5238103651105697,0
520.0,1.5238013473789311,0
520.1,1.5237923351696134,0
520.2,1.5237833284780442,0
520.3,1.523774327299656,0
520.4,1.5237653316298867,0
520.5,1.5237563414641777,0
520.6,1.5237473567979767,0
520.7,1.5237383776267348,0
520.8,1.5237294039459086,0
520.9,1.5237204357509595,0
521.0,1.5237114730373533,0
521.1,1.5237025158005608,0
521.2,1.5236935640360576,0
521.3,1.5236846177393235,0
521.4,1.523675676905844,0
521.5,1.523666741531108,0
521.6,1.5236578116106105,0
521.7,1.5236488871398504,0
521.8,1.5236399681143311,0
521.9,1.5236310545295617,0
522.0,1.5236221463810546,0
522.1,1.5236132436643284,0
522.2,1.5236043463749052,0
522.3,1.5235954545083124,0
522.4,1.5235865680600815,0
522.5,1.5235776870257496,0
522.6,1.5235688114008576,0
522.7,1.523559941180951,0
522.8,1.523551076361581,0
522.9,1.523542216938302,0
523.0,1.5235333629066745,0
523.1,1.523524514262262,0
523.2,1.5235156710006341,0
523.3,1.5235068331173645,0
523.4,1.523498000608031,0
523.5,1.5234891734682168,0
523.6,1.5234803516935091,0
523.7,1.5234715352795,0
523.8,1.5234627242217862,0
523.9,1.5234539185159688,0
524.0,1.5234451181576534,0
524.1,1.5234363231424506,0
524.2,1.5234275334659753,0
524.3,1.5234187491238467,0
524.4,1.5234099701116888,0
524.5,1.5234011964251306,0
524.6,1.5233924280598046,0
524.7,1.5233836650113488,0
524.8,1.5233749072754055,0
524.9,1.5233661548476207,0
525.0,1.5233574077236463,0
525.1,1.5233486658991375,0
525.2,1.523339929369755,0
525.3,1.523331198131163,0
525.4,1.523322472179031,0
525.5,1.523313751509033,0
525.6,1.5233050361168463,0
525.7,1.5232963259981542,0
525.8,1.5232876211486437,0
525.9,1.5232789215640066,0
526.0,1.5232702272399383,0
526.1,1.5232615381721402,0
526.2,1.5232528543563164,0
526.3,1.523244175788177,0
526.4,1.5232355024634352,0
526.5,1.52322683437781,0
526.6,1.5232181715270234,0
526.7,1.523209513906803,0
526.8,1.52320086151288,0
526.9,1.5231922143409906,0
527.0,1.5231835723868752,0
527.1,1.5231749356462783,0
527.2,1.523166304114949,0
527.3,1.5231576777886413,0
527.4,1.5231490566631125,0
527.5,1.5231404407341251,0
527.6,1.5231318299974461,0
527.7,1.5231232244488462,0
527.8,1.523114624084101,0
527.9,1.52310602889899,0
528.0,1.5230974388892975,0
528.1,1.5230888540508118,0
528.2,1.5230802743793257,0
528.3,1.5230716998706364,0
528.4,1.5230631305205453,0
528.5,1.5230545663248582,0
528.6,1.5230460072793852,0
528.7,1.5230374533799407,0
528.8,1.5230289046223433,0
528.9,1.523020361002416,0
529.0,1.5230118225159863,0
529.1,1.5230032891588854,0
529.2,1.5229947609269496,0
529.3,1.5229862378160188,0
529.4,1.5229777198219379,0
529.5,1.5229692069405547,0
529.6,1.5229606991677227,0
529.7,1.5229521964992994,0
529.8,1.5229436989311456,0
529.9,1.5229352064591277,0
530.0,1.5229267190791151,0
530.1,1.5229182367869825,0
530.2,1.522909759578608,0
530.3,1.5229012874498744,0
530.4,1.5228928203966685,0
530.5,1.5228843584148815,0
530.6,1.5228759015004085,0
530.7,1.5228674496491492,0
530.8,1.5228590028570075,0
530.9,1.5228505611198908,0
531.0,1.5228421244337116,0
531.1,1.522833692794386,0
531.2,1.5228252661978345,0
531.3,1.5228168446399821,0
531.4,1.5228084281167569,0
531.5,1.5228000166240927,0
531.6,1.5227916101579257,0
531.7,1.5227832087141981,0
531.8,1.522774812288855,0
531.9,1.5227664208778457,0
532.0,1.5227580344771239,0
532.1,1.5227496530826479,0
532.2,1.5227412766903796,0
532.3,1.5227329052962848,0
532.4,1.522724538896334,0
532.5,1.5227161774865012,0
532.6,1.5227078210627651,0
532.7,1.5226994696211082,0
532.8,1.5226911231575173,0
532.9,1.5226827816679829,0
533.0,1.5226744451484997,0
533.1,1.5226661135950672,0
533.2,1.5226577870036875,0
533.3,1.5226494653703684,0
533.4,1.5226411486911207,0
533.5,1.5226328369619597,0
533.6,1.5226245301789045,0
533.7,1.5226162283379783,0
533.8,1.5226079314352086,0
533.9,1.522599639466627,0
534.0,1.5225913524282684,0
534.1,1.5225830703161727,0
534.2,1.5225747931263833,0
534.3,1.5225665208549475,0
534.4,1.522558253497917,0
534.5,1.5225499910513471,0
534.6,1.5225417335112974,0
534.7,1.5225334808738316,0
534.8,1.5225252331350172,0
534.9,1.5225169902909257,0
535.0,1.5225087523376326,0
535.1,1.5225005192712175,0
535.2,1.5224922910877636,0
535.3,1.5224840677833587,0
535.4,1.522475849354094,0
535.5,1.5224676357960647,0
535.6,1.5224594271053704,0
535.7,1.5224512232781144,0
535.8,1.522443024310404,0
535.9,1.5224348301983501,0
536.0,1.5224266409380678,0
536.1,1.5224184565256766,0
536.2,1.5224102769572991,0
536.3,1.5224021022290624,0
536.4,1.5223939323370974,0
536.5,1.5223857672775385,0
536.6,1.5223776070465245,0
536.7,1.522369451640198,0
536.8,1.5223613010547057,0
536.9,1.5223531552861975,0
537.0,1.522345014330828,0
537.1,1.5223368781847548,0
537.2,1.5223287468441407,0
537.3,1.5223206203051511,0
537.4,1.5223124985639558,0
537.5,1.5223043816167283,0
537.6,1.5222962694596465,0
537.7,1.5222881620888915,0
537.8,1.5222800595006483,0
537.9,1.5222719616911062,0
538.0,1.5222638686564578,0
538.1,1.5222557803929002,0
538.2,1.522247696896634,0
538.3,1.5222396181638633,0
538.4,1.5222315441907963,0
538.5,1.5222234749736452,0
538.6,1.5222154105086259,0
538.7,1.5222073507919578,0
538.8,1.5221992958198642,0
538.9,1.522191245588573,0
539.0,1.5221832000943152,0
539.1,1.522175159333325,0
539.2,1.5221671233018415,0
539.3,1.5221590919961072,0
539.4,1.522151065412368,0
539.5,1.5221430435468741,0
539.6,1.5221350263958793,0
539.7,1.5221270139556407,0
539.8,1.5221190062224201,0
539.9,1.5221110031924823,0
540.0,1.5221030048620956,0
540.1,1.5220950112275333,0
540.2,1.5220870222850713,0
540.3,1.5220790380309897,0
540.4,1.522071058461572,0
540.5,1.522063083573106,0
540.6,1.5220551133618823,0
540.7,1.5220471478241964,0
540.8,1.5220391869563465,0
540.9,1.5220312307546353,0
541.0,1.5220232792153687,0
541.1,1.5220153323348562,0
541.2,1.5220073901094113,0
541.3,1.5219994525353515,0
541.4,1.521991519608997,0
541.5,1.5219835913266728,0
541.6,1.5219756676847067,0
541.7,1.5219677486794305,0
541.8,1.52195983430718,0
541.9,1.5219519245642945,0
542.0,1.5219440194471163,0
542.1,1.5219361189519922,0
542.2,1.5219282230752724,0
542.3,1.5219203318133103,0
542.4,1.521912445162464,0
542.5,1.5219045631190937,0
542.6,1.5218966856795646,0
542.7,1.5218888128402452,0
542.8,1.521880944597507,0
542.9,1.521873080947726,0
543.0,1.5218652218872812,0
543.1,1.5218573674125553,0
543.2,1.5218495175199347,0
543.3,1.5218416722058097,0
543.4,1.5218338314665736,0
543.5,1.5218259952986235,0
543.6,1.5218181636983608,0
543.7,1.5218103366621893,0
543.8,1.5218025141865168,0
543.9,1.5217946962677555,0
544.0,1.5217868829023202,0
544.1,1.5217790740866295,0
544.2,1.5217712698171055,0
544.3,1.5217634700901745,0
544.4,1.5217556749022654,0
544.5,1.5217478842498111,0
