wavelength,n,kappa
529.0,1.000448009846913,0
530.12,1.0004479172389342,0
531.24,1.000447825216067,0
532.36,1.0004477337733926,0
533.48,1.0004476429060438,0
534.6,1.0004475526092045,0
535.72,1.0004474628781086,0
536.84,1.0004473737080402,0
537.96,1.0004472850943316,0
539.08,1.0004471970323643,0
540.2,1.0004471095175673,0
541.32,1.000447022545417,0
542.44,1.0004469361114359,0
543.56,1.0004468502111932,0
544.68,1.0004467648403035,0
545.8,1.0004466799944263,0
546.92,1.0004465956692654,0
548.04,1.0004465118605683,0
549.16,1.0004464285641266,0
550.28,1.0004463457757735,0
551.4,1.0004462634913853,0
552.52,1.00044618170688,0
553.64,1.0004461004182164,0
554.76,1.0004460196213945,0
555.88,1.0004459393124545,0
557.0,1.0004458594874763,0
558.12,1.0004457801425788,0
559.24,1.00044570127392,0
560.36,1.0004456228776968,0
561.48,1.0004455449501426,0
562.6,1.0004454674875296,0
563.72,1.0004453904861665,0
564.84,1.0004453139423986,0
565.96,1.0004452378526068,0
567.08,1.0004451622132087,0
568.2,1.0004450870206565,0
569.32,1.0004450122714372,0
570.44,1.0004449379620726,0
571.56,1.0004448640891186,0
572.6800000000001,1.0004447906491643,0
573.8,1.0004447176388325,0
574.92,1.0004446450547786,0
576.04,1.0004445728936906,0
577.16,1.0004445011522884,0
578.28,1.000444429827324,0
579.4,1.0004443589155805,0
580.52,1.000444288413872,0
581.64,1.0004442183190432,0
582.76,1.0004441486279696,0
583.88,1.0004440793375557,0
585.0,1.0004440104447367,0
