wavelength,n,kappa
529.0,1.3306370598116881,0
529.056,1.3306337927250298,0
529.112,1.330630526741331,0
529.168,1.3306272618600878,0
529.224,1.3306239980807972,0
529.28,1.3306207354029562,0
529.336,1.3306174738260617,0
529.392,1.3306142133496113,0
529.448,1.3306109539731028,0
529.504,1.3306076956960349,0
529.56,1.3306044385179052,0
529.616,1.3306011824382131,0
529.672,1.3305979274564572,0
529.728,1.3305946735721368,0
529.784,1.3305914207847518,0
529.84,1.3305881690938017,0
529.896,1.3305849184987868,0
529.952,1.3305816689992076,0
530.008,1.3305784205945648,0
530.064,1.3305751732843591,0
530.12,1.3305719270680925,0
530.176,1.330568681945266,0
530.232,1.330565437915382,0
530.288,1.330562194977942,0
530.344,1.330558953132449,0
530.4,1.3305557123784058,0
530.456,1.3305524727153148,0
530.512,1.33054923414268,0
530.568,1.3305459966600046,0
530.624,1.3305427602667925,0
530.68,1.3305395249625482,0
530.736,1.3305362907467762,0
530.792,1.3305330576189807,0
530.848,1.3305298255786673,0
530.904,1.3305265946253408,0
530.96,1.3305233647585075,0
531.016,1.3305201359776726,0
531.072,1.3305169082823427,0
531.128,1.330513681672024,0
531.184,1.3305104561462235,0
531.24,1.330507231704448,0
531.296,1.330504008346205,0
531.352,1.3305007860710019,0
531.408,1.3304975648783468,0
531.464,1.3304943447677477,0
531.52,1.330491125738713,0
531.576,1.3304879077907519,0
531.632,1.3304846909233727,0
531.688,1.3304814751360852,0
531.744,1.330478260428399,0
531.8,1.3304750467998234,0
531.856,1.3304718342498691,0
531.912,1.3304686227780462,0
531.968,1.3304654123838657,0
532.024,1.3304622030668385,0
532.08,1.3304589948264758,0
532.136,1.330455787662289,0
532.192,1.33045258157379,0
532.248,1.3304493765604912,0
532.304,1.3304461726219046,0
532.36,1.3304429697575433,0
532.416,1.3304397679669198,0
532.472,1.3304365672495475,0
532.528,1.33043336760494,0
532.584,1.330430169032611,0
532.64,1.3304269715320745,0
532.696,1.330423775102845,0
532.752,1.330420579744437,0
532.808,1.3304173854563657,0
532.864,1.3304141922381458,0
532.92,1.330411000089293,0
532.976,1.3304078090093232,0
533.032,1.330404618997752,0
533.088,1.3304014300540963,0
533.144,1.3303982421778722,0
533.2,1.3303950553685966,0
533.256,1.3303918696257866,0
533.312,1.3303886849489597,0
533.368,1.3303855013376338,0
533.424,1.3303823187913264,0
533.48,1.330379137309556,0
533.536,1.3303759568918412,0
533.592,1.3303727775377003,0
533.648,1.330369599246653,0
533.704,1.3303664220182185,0
533.76,1.330363245851916,0
533.816,1.3303600707472656,0
533.872,1.3303568967037875,0
533.928,1.3303537237210021,0
533.984,1.3303505517984304,0
534.04,1.3303473809355928,0
534.096,1.3303442111320112,0
534.152,1.3303410423872066,0
534.208,1.3303378747007009,0
534.264,1.3303347080720165,0
534.32,1.3303315425006754,0
534.376,1.3303283779862003,0
534.432,1.3303252145281144,0
534.488,1.3303220521259405,0
534.544,1.3303188907792023,0
534.6,1.3303157304874231,0
534.656,1.3303125712501276,0
534.712,1.3303094130668394,0
534.768,1.330306255937083,0
534.824,1.330303099860384,0
534.88,1.3302999448362667,0
534.936,1.3302967908642567,0
534.992,1.3302936379438794,0
535.048,1.3302904860746612,0
535.104,1.330287335256128,0
535.16,1.330284185487806,0
535.216,1.3302810367692222,0
535.272,1.3302778890999032,0
535.328,1.3302747424793768,0
535.384,1.3302715969071701,0
535.44,1.330268452382811,0
535.496,1.3302653089058276,0
535.552,1.3302621664757481,0
535.608,1.3302590250921011,0
535.664,1.3302558847544157,0
535.72,1.3302527454622206,0
535.776,1.3302496072150456,0
535.832,1.33024647001242,0
535.888,1.330243333853874,0
535.944,1.3302401987389376,0
536.0,1.3302370646671415,0
536.056,1.3302339316380163,0
536.112,1.3302307996510931,0
536.168,1.330227668705903,0
536.224,1.3302245388019773,0
536.28,1.3302214099388485,0
536.336,1.3302182821160482,0
536.392,1.3302151553331087,0
536.448,1.3302120295895627,0
536.504,1.330208904884943,0
536.56,1.330205781218783,0
536.616,1.330202658590616,0
536.672,1.3301995369999755,0
536.728,1.3301964164463953,0
536.784,1.33019329692941,0
536.84,1.3301901784485537,0
536.896,1.3301870610033613,0
536.952,1.3301839445933679,0
537.008,1.3301808292181085,0
537.064,1.3301777148771188,0
537.12,1.3301746015699345,0
537.176,1.3301714892960916,0
537.232,1.3301683780551266,0
537.288,1.3301652678465758,0
537.344,1.3301621586699763,0
537.4,1.330159050524865,0
537.456,1.3301559434107795,0
537.512,1.330152837327257,0
537.568,1.3301497322738358,0
537.624,1.330146628250054,0
537.68,1.3301435252554497,0
537.736,1.330140423289562,0
537.792,1.3301373223519295,0
537.848,1.3301342224420916,0
537.904,1.3301311235595876,0
537.96,1.3301280257039574,0
538.016,1.3301249288747408,0
538.072,1.3301218330714781,0
538.128,1.3301187382937099,0
538.184,1.330115644540977,0
538.24,1.33011255181282,0
538.296,1.3301094601087808,0
538.352,1.3301063694284005,0
538.408,1.3301032797712213,0
538.464,1.3301001911367847,0
538.52,1.3300971035246336,0
538.576,1.33009401693431,0
538.632,1.3300909313653573,0
538.688,1.3300878468173183,0
538.744,1.3300847632897366,0
538.8,1.3300816807821556,0
538.856,1.330078599294119,0
538.912,1.3300755188251714,0
538.968,1.3300724393748569,0
539.024,1.3300693609427203,0
539.08,1.3300662835283061,0
539.136,1.3300632071311602,0
539.192,1.3300601317508274,0
539.248,1.3300570573868535,0
539.304,1.3300539840387846,0
539.36,1.330050911706167,0
539.416,1.3300478403885467,0
539.472,1.330044770085471,0
539.528,1.3300417007964862,0
539.584,1.3300386325211402,0
539.64,1.33003556525898,0
539.696,1.3300324990095536,0
539.752,1.3300294337724088,0
539.808,1.330026369547094,0
539.864,1.3300233063331575,0
539.92,1.3300202441301483,0
539.976,1.3300171829376153,0
540.032,1.3300141227551074,0
540.088,1.330011063582175,0
540.144,1.330008005418367,0
540.2,1.330004948263234,0
540.256,1.3300018921163257,0
540.312,1.3299988369771933,0
540.368,1.3299957828453874,0
540.424,1.3299927297204586,0
540.48,1.3299896776019589,0
540.536,1.329986626489439,0
540.592,1.3299835763824515,0
540.648,1.329980527280548,0
540.704,1.329977479183281,0
540.76,1.3299744320902032,0
540.816,1.329971386000867,0
540.872,1.3299683409148257,0
540.928,1.3299652968316327,0
540.984,1.3299622537508413,0
541.04,1.3299592116720056,0
541.096,1.3299561705946794,0
541.152,1.3299531305184173,0
541.208,1.329950091442774,0
541.264,1.3299470533673037,0
541.32,1.3299440162915621,0
541.376,1.3299409802151043,0
541.432,1.3299379451374858,0
541.488,1.3299349110582623,0
541.544,1.3299318779769904,0
541.6,1.3299288458932261,0
541.656,1.3299258148065258,0
541.712,1.3299227847164465,0
541.768,1.3299197556225455,0
541.824,1.3299167275243797,0
541.88,1.3299137004215071,0
541.936,1.3299106743134852,0
541.992,1.3299076491998723,0
542.048,1.3299046250802264,0
542.104,1.3299016019541063,0
542.16,1.329898579821071,0
542.216,1.329895558680679,0
542.272,1.3298925385324905,0
542.328,1.329889519376064,0
542.384,1.3298865012109602,0
542.44,1.3298834840367386,0
542.496,1.3298804678529599,0
542.552,1.3298774526591843,0
542.608,1.3298744384549728,0
542.664,1.3298714252398864,0
542.72,1.3298684130134864,0
542.776,1.3298654017753344,0
542.832,1.3298623915249919,0
542.888,1.3298593822620213,0
542.944,1.3298563739859848,0
543.0,1.3298533666964447,0
543.056,1.329850360392964,0
543.112,1.3298473550751055,0
543.168,1.3298443507424327,0
543.224,1.329841347394509,0
543.28,1.329838345030898,0
543.336,1.3298353436511638,0
543.392,1.3298323432548709,0
543.448,1.3298293438415834,0
543.504,1.329826345410866,0
543.56,1.329823347962284,0
543.616,1.3298203514954026,0
543.672,1.3298173560097868,0
543.728,1.3298143615050027,0
543.784,1.3298113679806163,0
543.84,1.3298083754361933,0
543.896,1.3298053838713007,0
543.952,1.329802393285505,0
544.008,1.329799403678373,0
544.064,1.3297964150494717,0
544.12,1.3297934273983687,0
544.176,1.329790440724632,0
544.232,1.3297874550278288,0
544.288,1.3297844703075279,0
544.344,1.3297814865632969,0
544.4,1.329778503794705,0
544.456,1.3297755220013212,0
544.512,1.329772541182714,0
544.568,1.329769561338453,0
544.624,1.3297665824681077,0
544.68,1.3297636045712482,0
544.736,1.3297606276474443,0
544.792,1.3297576516962664,0
544.848,1.329754676717285,0
544.904,1.329751702710071,0
544.96,1.329748729674195,0
545.016,1.3297457576092286,0
545.072,1.3297427865147433,0
545.128,1.329739816390311,0
545.184,1.3297368472355031,0
545.24,1.3297338790498923,0
545.296,1.329730911833051,0
545.352,1.3297279455845517,0
545.408,1.3297249803039672,0
545.4639999999999,1.3297220159908714,0
545.52,1.3297190526448368,0
545.576,1.3297160902654377,0
545.632,1.3297131288522477,0
545.688,1.329710168404841,0
545.744,1.3297072089227917,0
545.8,1.3297042504056746,0
545.856,1.3297012928530647,0
545.912,1.329698336264537,0
545.968,1.3296953806396665,0
546.024,1.3296924259780292,0
546.08,1.3296894722792005,0
546.136,1.3296865195427567,0
546.192,1.329683567768274,0
546.248,1.3296806169553284,0
546.304,1.3296776671034973,0
546.36,1.3296747182123574,0
546.416,1.3296717702814858,0
546.472,1.32966882331046,0
546.528,1.3296658772988579,0
546.584,1.3296629322462572,0
546.64,1.3296599881522357,0
546.696,1.3296570450163723,0
546.752,1.3296541028382456,0
546.808,1.329651161617434,0
546.864,1.3296482213535168,0
546.92,1.3296452820460736,0
546.976,1.3296423436946836,0
547.032,1.3296394062989267,0
547.088,1.329636469858383,0
547.144,1.3296335343726324,0
547.2,1.3296305998412556,0
547.256,1.3296276662638336,0
547.312,1.329624733639947,0
547.368,1.3296218019691768,0
547.424,1.329618871251105,0
547.48,1.3296159414853128,0
547.5360000000001,1.3296130126713823,0
547.592,1.3296100848088952,0
547.648,1.3296071578974344,0
547.704,1.3296042319365822,0
547.76,1.3296013069259216,0
547.816,1.3295983828650353,0
547.872,1.3295954597535067,0
547.928,1.3295925375909194,0
547.984,1.329589616376857,0
548.04,1.3295866961109037,0
548.096,1.3295837767926435,0
548.152,1.3295808584216608,0
548.208,1.3295779409975406,0
548.264,1.3295750245198672,0
548.32,1.329572108988226,0
548.376,1.3295691944022026,0
548.432,1.3295662807613824,0
548.488,1.329563368065351,0
548.544,1.3295604563136947,0
548.6,1.3295575455059996,0
548.656,1.3295546356418524,0
548.712,1.3295517267208394,0
548.768,1.3295488187425482,0
548.824,1.3295459117065653,0
548.88,1.3295430056124788,0
548.936,1.329540100459876,0
548.992,1.3295371962483444,0
549.048,1.3295342929774727,0
549.104,1.329531390646849,0
549.16,1.3295284892560617,0
549.216,1.3295255888047,0
549.272,1.3295226892923524,0
549.328,1.3295197907186085,0
549.384,1.3295168930830574,0
549.44,1.3295139963852893,0
549.496,1.3295111006248939,0
549.552,1.3295082058014611,0
549.608,1.3295053119145817,0
549.664,1.3295024189638458,0
549.72,1.3294995269488448,0
549.776,1.3294966358691693,0
549.832,1.3294937457244107,0
549.888,1.3294908565141605,0
549.944,1.3294879682380107,0
550.0,1.329485080895553,0
550.056,1.3294821944863795,0
550.112,1.3294793090100827,0
550.168,1.3294764244662554,0
550.224,1.3294735408544902,0
550.28,1.3294706581743805,0
550.336,1.3294677764255192,0
550.392,1.3294648956075001,0
550.448,1.3294620157199168,0
550.504,1.3294591367623636,0
550.56,1.3294562587344345,0
550.616,1.329453381635724,0
550.672,1.3294505054658263,0
550.728,1.329447630224337,0
550.784,1.3294447559108509,0
550.84,1.329441882524963,0
550.896,1.3294390100662694,0
550.952,1.3294361385343656,0
551.008,1.3294332679288474,0
551.064,1.3294303982493114,0
551.12,1.329427529495354,0
551.176,1.3294246616665715,0
551.232,1.329421794762561,0
551.288,1.3294189287829197,0
551.344,1.329416063727245,0
551.4,1.3294131995951342,0
551.456,1.329410336386185,0
551.512,1.329407474099996,0
551.568,1.3294046127361647,0
551.624,1.32940175229429,0
551.68,1.3293988927739702,0
551.736,1.3293960341748046,0
551.792,1.329393176496392,0
551.848,1.3293903197383319,0
551.904,1.3293874639002234,0
551.96,1.3293846089816672,0
552.016,1.3293817549822624,0
552.072,1.3293789019016093,0
552.128,1.329376049739309,0
552.184,1.3293731984949613,0
552.24,1.3293703481681678,0
552.296,1.3293674987585289,0
552.352,1.3293646502656464,0
552.408,1.3293618026891219,0
552.464,1.3293589560285566,0
552.52,1.3293561102835527,0
552.576,1.3293532654537126,0
552.632,1.3293504215386387,0
552.688,1.3293475785379332,0
552.744,1.3293447364511992,0
552.8,1.32934189527804,0
552.856,1.3293390550180586,0
552.912,1.3293362156708584,0
552.968,1.3293333772360434,0
553.024,1.3293305397132171,0
553.08,1.3293277031019841,0
553.136,1.3293248674019484,0
553.192,1.329322032612715,0
553.248,1.3293191987338884,0
553.304,1.3293163657650737,0
553.36,1.3293135337058761,0
553.416,1.3293107025559008,0
553.472,1.329307872314754,0
553.528,1.329305042982041,0
553.584,1.3293022145573685,0
553.64,1.3292993870403422,0
553.696,1.329296560430569,0
553.752,1.3292937347276559,0
553.808,1.3292909099312091,0
553.864,1.3292880860408365,0
553.92,1.3292852630561451,0
553.976,1.3292824409767425,0
554.032,1.3292796198022367,0
554.088,1.3292767995322359,0
554.144,1.3292739801663478,0
554.2,1.3292711617041812,0
554.256,1.329268344145345,0
554.312,1.3292655274894478,0
554.368,1.3292627117360987,0
554.424,1.3292598968849072,0
554.48,1.3292570829354826,0
554.5360000000001,1.3292542698874348,0
554.592,1.3292514577403738,0
554.648,1.3292486464939097,0
554.704,1.329245836147653,0
554.76,1.329243026701214,0
554.816,1.3292402181542042,0
554.872,1.329237410506234,0
554.928,1.3292346037569147,0
554.984,1.3292317979058579,0
555.04,1.3292289929526753,0
555.096,1.3292261888969787,0
555.152,1.3292233857383804,0
555.208,1.3292205834764925,0
555.264,1.3292177821109274,0
555.32,1.3292149816412981,0
555.376,1.3292121820672176,0
555.432,1.3292093833882985,0
555.488,1.329206585604155,0
555.544,1.3292037887144001,0
555.6,1.3292009927186477,0
555.656,1.3291981976165117,0
555.712,1.3291954034076066,0
555.768,1.3291926100915468,0
555.824,1.3291898176679466,0
555.88,1.329187026136421,0
555.936,1.329184235496585,0
555.992,1.3291814457480542,0
556.048,1.3291786568904438,0
556.104,1.3291758689233693,0
556.16,1.329173081846447,0
