wavelength,n,kappa
529.0,1.684186,0
531.24,1.68399336,0
533.48,1.68380072,0
535.72,1.6836080800000002,0
537.96,1.68341544,0
540.2,1.6832245000000001,0
542.44,1.6830509,0
544.68,1.6828773000000001,0
546.92,1.6827037,0
549.16,1.6825301,0
551.4,1.6823565,0
553.64,1.6821829,0
555.88,1.6820093,0
558.12,1.6818357,0
560.36,1.6816651599999999,0
562.6,1.6815106,0
564.84,1.6813560399999998,0
567.08,1.68120148,0
569.32,1.68104692,0
571.56,1.6808923599999999,0
573.8,1.6807378,0
576.04,1.68058324,0
578.28,1.68042868,0
580.52,1.6802774999999999,0
582.76,1.6801375,0
585.0,1.6799975,0
