wavelength,n,kappa
529.0,1.0006635672160262,0
531.24,1.0006632872617371,0
533.48,1.0006630108264936,0
535.72,1.0006627378515622,0
537.96,1.0006624682794298,0
540.2,1.0006622020537734,0
542.44,1.0006619391194302,0
544.68,1.0006616794223695,0
546.92,1.0006614229096649,0
549.16,1.0006611695294667,0
551.4,1.0006609192309772,0
553.64,1.0006606719644235,0
555.88,1.0006604276810334,0
558.12,1.000660186333012,0
560.36,1.0006599478735174,0
562.6,1.0006597122566385,0
564.84,1.0006594794373727,0
567.08,1.0006592493716044,0
569.32,1.0006590220160845,0
571.56,1.000658797328409,0
573.8,1.0006585752670007,0
576.04,1.0006583557910889,0
578.28,1.0006581388606908,0
580.52,1.000657924436594,0
582.76,1.000657712480338,0
585.0,1.0006575029541969,0
