wavelength,n,kappa
529.0,1.379228664577385,0
531.24,1.378906655156411,0
533.48,1.3785886934170033,0
535.72,1.378274711802792,0
537.96,1.3779646441609557,0
540.2,1.3776584257073738,0
542.44,1.3773559929927846,0
544.68,1.3770572838699153,0
546.92,1.3767622374615534,0
549.16,1.3764707941295264,0
551.4,1.376182895444563,0
553.64,1.3758984841570052,0
555.88,1.3756175041683458,0
558.12,1.3753399005035638,0
560.36,1.3750656192842308,0
562.6,1.374794607702368,0
564.84,1.3745268139950264,0
567.08,1.3742621874195662,0
569.32,1.3740006782296201,0
571.56,1.3737422376517114,0
573.8,1.3734868178625106,0
576.04,1.37323437196671,0
578.28,1.372984853975498,0
580.52,1.3727382187856116,0
582.76,1.372494422158954,0
585.0,1.3722534207027541,0
