wavelength,n,kappa
529.0,1.0007573808591308,0
531.24,1.0007571756863842,0
533.48,1.0007569730926738,0
535.72,1.000756773034955,0
537.96,1.0007565754710777,0
540.2,1.0007563803597637,0
542.44,1.0007561876605857,0
544.68,1.0007559973339455,0
546.92,1.0007558093410545,0
549.16,1.0007556236439132,0
551.4,1.0007554402052927,0
553.64,1.0007552589887156,0
555.88,1.0007550799584382,0
558.12,1.0007549030794318,0
560.36,1.0007547283173677,0
562.6,1.000754555638598,0
564.84,1.0007543850101415,0
567.08,1.0007542163996668,0
569.32,1.0007540497754772,0
571.56,1.0007538851064963,0
573.8,1.0007537223622525,0
576.04,1.000753561512866,0
578.28,1.0007534025290343,0
580.52,1.0007532453820192,0
582.76,1.0007530900436339,0
585.0,1.00075293648623,0
