wavelength,n,kappa
529.0,1.363675141180327,3.16566e-09
531.24,1.3635811823722186,3.252556399999997e-09
533.48,1.3634884047461509,3.2796292000000036e-09
535.72,1.3633967874193051,3.293556399999994e-09
537.96,1.3633063099681901,3.116002800000008e-09
540.2,1.3632169524164721,3.5679939999999994e-09
542.44,1.3631286952231831,3.4896664000000005e-09
544.68,1.3630415192712924,3.4129840000000277e-09
546.92,1.3629554058566309,3.6348419999999914e-09
549.16,1.3628703366771526,3.72932199999998e-09
551.4,1.362786293822524,3.9227740000000005e-09
553.64,1.3627032597640276,3.743491600000009e-09
555.88,1.3626212173447723,3.810043200000003e-09
558.12,1.3625401497701954,3.767505600000014e-09
560.36,1.3624600405988505,3.8661936000000225e-09
562.6,1.3623808737334677,3.916598e-09
564.84,1.36230263341228,3.968238400000001e-09
567.08,1.3622253042006056,3.824047200000002e-09
569.32,1.3621488709826752,3.821763600000004e-09
571.56,1.3620733189537024,3.9242588000000015e-09
573.8,1.3619986336121803,3.824595999999999e-09
576.04,1.361924800752404,3.882457200000005e-09
578.28,1.3618518064572092,3.9688184000000065e-09
580.52,1.361779637090917,4.181613599999987e-09
582.76,1.3617082792924828,4.066509599999999e-09
585.0,1.3616377199688396,4.41786e-09
