wavelength,n,kappa
529.0,1.361490956854419,0
531.24,1.3613860961926825,0
533.48,1.3612826601169927,0
535.72,1.3611806226432561,0
537.96,1.3610799583819173,0
540.2,1.3609806425216235,0
542.44,1.3608826508134118,0
544.68,1.3607859595553995,0
546.92,1.3606905455779617,0
549.16,1.3605963862293748,0
551.4,1.3605034593619125,0
553.64,1.3604117433183758,0
555.88,1.3603212169190428,0
558.12,1.3602318594490244,0
560.36,1.3601436506460067,0
562.6,1.360056570688375,0
564.84,1.359970600183696,0
567.08,1.359885720157555,0
569.32,1.3598019120427285,0
571.56,1.359719157668686,0
573.8,1.359637439251405,0
576.04,1.3595567393834929,0
578.28,1.3594770410246022,0
580.52,1.35939832749213,0
582.76,1.3593205824521928,0
585.0,1.3592437899108667,0
