wavelength,n,kappa
529.0,1.3795227888576322,0
531.24,1.379403627689224,0
533.48,1.3792859138344242,0
535.72,1.37916962365841,0
537.96,1.379054734019623,0
540.2,1.3789412222569646,0
542.44,1.378829066177393,0
544.68,1.3787182440439165,0
546.92,1.378608734563959,0
549.16,1.378500516878087,0
551.4,1.378393570549087,0
553.64,1.3782878755513754,0
555.88,1.3781834122607355,0
558.12,1.3780801614443605,0
560.36,1.3779781042512012,0
562.6,1.3778772222026001,0
564.84,1.3777774971832062,0
567.08,1.3776789114321564,0
569.32,1.3775814475345187,0
571.56,1.3774850884129848,0
573.8,1.3773898173198034,0
576.04,1.377295617828948,0
578.28,1.3772024738285105,0
580.52,1.3771103695133096,0
582.76,1.3770192893777118,0
585.0,1.376929218208654,0
