wavelength,n,kappa
529.0,1.4225630952903945,0
531.24,1.4224559292576873,0
533.48,1.4223506277129963,0
535.72,1.4222471441782196,0
537.96,1.4221454336339052,0
540.2,1.4220454524651591,0
542.44,1.4219471584098373,0
544.68,1.4218505105089037,0
546.92,1.4217554690588603,0
549.16,1.4216619955661511,0
551.4,1.4215700527034494,0
553.64,1.4214796042677416,0
555.88,1.4213906151401285,0
558.12,1.4213030512472613,0
560.36,1.4212168795243405,0
562.6,1.4211320678796129,0
564.84,1.4210485851602859,0
567.08,1.420966401119812,0
569.32,1.4208854863864708,0
571.56,1.4208058124331964,0
573.8,1.4207273515485936,0
576.04,1.4206500768090924,0
578.28,1.4205739620521876,0
580.52,1.4204989818507225,0
582.76,1.4204251114881636,0
585.0,1.4203523269348302,0
