wavelength,n,kappa
529.0,1.5022410910315174,1.06504e-08
531.24,1.501995641006384,1.0766263999999987e-08
533.48,1.501753519476226,1.0156706000000022e-08
535.72,1.501514665482866,9.851056000000026e-09
537.96,1.5012790194796792,9.003666400000014e-09
540.2,1.5010465232919794,8.846868e-09
542.44,1.500817120078708,8.434831999999998e-09
544.68,1.5005907542953878,8.00126480000002e-09
546.92,1.500367371658282,8.349366399999992e-09
549.16,1.5001469191097219,7.946535200000002e-09
551.4,1.4999293447845545,7.450693999999995e-09
553.64,1.4997145979776734,7.209548399999999e-09
555.88,1.4995026291125833,7.281123600000002e-09
558.12,1.4992933897109733,6.745350000000117e-09
560.36,1.4990868323632505,6.724568799999981e-09
562.6,1.4988829107000046,7.835083999999999e-09
564.84,1.4986815793643693,8.112281199999992e-09
567.08,1.4984827939852459,6.918867600000015e-09
569.32,1.4982865111513604,6.92068239999997e-09
571.56,1.498092688386123,6.773509600000002e-09
573.8,1.4979012841232624,7.360882000000019e-09
576.04,1.4977122576832056,7.550708799999989e-09
578.28,1.4975255692501799,7.013232000000014e-09
580.52,1.4973411798500078,7.223116799999976e-09
582.76,1.4971590513285757,6.314228400000007e-09
585.0,1.4969791463309479,6.6105e-09
