wavelength,n,kappa
529.0,1.499648979343803,0
531.24,1.499412641712645,0
533.48,1.4991795014306508,0
535.72,1.4989495001085278,0
537.96,1.4987225807046274,0
540.2,1.498498687487259,0
542.44,1.4982777659982451,0
544.68,1.498059763017667,0
546.92,1.497844626529759,0
549.16,1.4976323056899081,0
551.4,1.4974227507927165,0
553.64,1.497215913241088,0
555.88,1.4970117455163023,0
558.12,1.4968102011490372,0
560.36,1.496611234691308,0
562.6,1.4964148016892893,0
564.84,1.4962208586569843,0
567.08,1.4960293630507189,0
569.32,1.4958402732444205,0
571.56,1.4956535485056626,0
573.8,1.4954691489724437,0
576.04,1.4952870356306753,0
578.28,1.495107170292354,0
580.52,1.4949295155743934,0
582.76,1.4947540348780963,0
585.0,1.4945806923692373,0
