wavelength,n,kappa
529.0,1.000448009846913,0
531.24,1.000447825216067,0
533.48,1.0004476429060438,0
535.72,1.0004474628781086,0
537.96,1.0004472850943316,0
540.2,1.0004471095175673,0
542.44,1.0004469361114359,0
544.68,1.0004467648403035,0
546.92,1.0004465956692654,0
549.16,1.0004464285641266,0
551.4,1.0004462634913853,0
553.64,1.0004461004182164,0
555.88,1.0004459393124545,0
558.12,1.0004457801425788,0
560.36,1.0004456228776968,0
562.6,1.0004454674875296,0
564.84,1.0004453139423986,0
567.08,1.0004451622132087,0
569.32,1.0004450122714372,0
571.56,1.0004448640891186,0
573.8,1.0004447176388325,0
576.04,1.0004445728936906,0
578.28,1.000444429827324,0
580.52,1.000444288413872,0
582.76,1.0004441486279696,0
585.0,1.0004440104447367,0
