wavelength,n,kappa
529.0,1.3306370598116881,0
531.24,1.330507231704448,0
533.48,1.330379137309556,0
535.72,1.3302527454622206,0
537.96,1.3301280257039574,0
540.2,1.330004948263234,0
542.44,1.3298834840367386,0
544.68,1.3297636045712482,0
546.92,1.3296452820460736,0
549.16,1.3295284892560617,0
551.4,1.3294131995951342,0
553.64,1.3292993870403422,0
555.88,1.329187026136421,0
558.12,1.3290760919808218,0
560.36,1.3289665602092104,0
562.6,1.32885840698141,0
564.84,1.3287516089677756,0
567.08,1.3286461433359844,0
569.32,1.3285419877382267,0
571.56,1.3284391202987853,0
573.8,1.3283375196019862,0
576.04,1.328237164680513,0
578.28,1.328138035004067,0
580.52,1.3280401104683663,0
582.76,1.3279433713844677,0
585.0,1.3278477984684036,0
