wavelength,n,kappa
529.0,1.4883578958621344,0
531.24,1.4882609367250408,0
533.48,1.4881652367444056,0
535.72,1.488070773609251,0
537.96,1.4879775255039829,0
540.2,1.4878854710951184,0
542.44,1.4877945895184397,0
544.68,1.4877048603665406,0
546.92,1.4876162636767662,0
549.16,1.4875287799195223,0
551.4,1.4874423899869467,0
553.64,1.487357075181926,0
555.88,1.4872728172074496,0
558.12,1.4871895981562855,0
560.36,1.4871074005009677,0
562.6,1.4870262070840872,0
564.84,1.4869460011088713,0
567.08,1.4868667661300454,0
569.32,1.4867884860449654,0
571.56,1.486711145085012,0
573.8,1.4866347278072383,0
576.04,1.4865592190862624,0
578.28,1.4864846041063968,0
580.52,1.4864108683540038,0
582.76,1.4863379976100748,0
585.0,1.4862659779430225,0
