wavelength,n,kappa
529.0,2.657504481314552,0
531.24,2.6490304580923327,0
533.48,2.6410769737839863,0
535.72,2.633585810178255,0
537.96,2.6265077791124978,0
540.2,2.619801002208207,0
542.44,2.613429571487283,0
544.68,2.607362495837093,0
546.92,2.601572864472739,0
549.16,2.5960371768791934,0
551.4,2.590734801733101,0
553.64,2.5856475366642986,0
555.88,2.5807592475275527,0
558.12,2.576055570864986,0
560.36,2.5715236669629626,0
562.6,2.5671520137009836,0
564.84,2.562930233505219,0
567.08,2.5588489473342437,0
569.32,2.554899650867286,0
571.56,2.551074609028902,0
573.8,2.5473667657363883,0
576.04,2.5437696663477025,0
578.28,2.5402773907555027,0
580.52,2.536884495445298,0
582.76,2.5335859631336883,0
585.0,2.5303771588425157,0
