wavelength,n,kappa
529.0,2.8846,0.514
531.24,2.886984,0.50952
533.48,2.890568,0.5050399999999999
535.72,2.8941519999999996,0.5005600000000001
537.96,2.8977359999999996,0.4960800000000001
540.2,2.9015199999999997,0.4913600000000001
542.44,2.9073439999999997,0.484192
544.68,2.9131679999999998,0.47702400000000034
546.92,2.918992,0.4698560000000003
549.16,2.924816,0.4626880000000002
551.4,2.93036,0.4534200000000002
553.64,2.935736,0.4428920000000001
555.88,2.941112,0.432364
558.12,2.946488,0.4218360000000005
560.36,2.951432,0.41076800000000047
562.6,2.95412,0.39688000000000023
564.84,2.956808,0.38299199999999994
567.08,2.959496,0.36910399999999965
569.32,2.962184,0.3552159999999994
571.56,2.961908,0.34085999999999994
573.8,2.96034,0.3262999999999998
576.04,2.958772,0.31173999999999974
578.28,2.957204,0.2971799999999996
580.52,2.9547,0.28303599999999957
582.76,2.9491,0.27026800000000006
585.0,2.9435000000000002,0.2575
