wavelength,n,kappa
529.0,1.4942798096031318,0
531.24,1.4941042109086233,0
533.48,1.4939310037328803,0
535.72,1.4937601438110557,0
537.96,1.49359158791604,0
540.2,1.4934252938288979,0
542.44,1.493261220310298,0
544.68,1.493099327072897,0
546.92,1.492939574754645,0
549.16,1.4927819248929708,0
551.4,1.4926263398998165,0
553.64,1.4924727830374906,0
555.88,1.4923212183953074,0
558.12,1.4921716108669825,0
560.36,1.492023926128755,0
562.6,1.4918781306182143,0
564.84,1.4917341915138,0
567.08,1.4915920767149535,0
569.32,1.4914517548228952,0
571.56,1.4913131951220064,0
573.8,1.491176367561794,0
576.04,1.4910412427394142,0
578.28,1.4909077918827391,0
580.52,1.490775986833945,0
582.76,1.4906458000336007,0
585.0,1.4905172045052464,0
