wavelength,n,kappa
529.0,1.5486960314828793,0
531.24,1.548494588309035,0
533.48,1.5482958650911356,0
535.72,1.5480998118851779,0
537.96,1.5479063799072152,0
540.2,1.5477155215006348,0
542.44,1.5475271901045247,0
544.68,1.5473413402230853,0
546.92,1.5471579273960518,0
549.16,1.54697690817008,0
551.4,1.546798240071068,0
553.64,1.5466218815773725,0
555.88,1.5464477920938908,0
558.12,1.5462759319269712,0
560.36,1.5461062622601265,0
562.6,1.5459387451305164,0
564.84,1.545773343406176,0
567.08,1.545610020763957,0
569.32,1.5454487416681575,0
571.56,1.5452894713498246,0
573.8,1.5451321757866865,0
576.04,1.5449768216837145,0
578.28,1.5448233764542714,0
580.52,1.5446718082018427,0
582.76,1.5445220857023174,0
585.0,1.5443741783868088,0
