wavelength,n,kappa
529.0,1.4609000296732018,0
531.24,1.460795579417965,0
533.48,1.4606923644895977,0
535.72,1.4605903625465395,0
537.96,1.4604895517420768,0
540.2,1.46038991071111,0
542.44,1.4602914185573321,0
544.68,1.4601940548408128,0
546.92,1.4600977995659623,0
549.16,1.460002633169873,0
551.4,1.4599085365110163,0
553.64,1.4598154908582874,0
555.88,1.4597234778803851,0
558.12,1.4596324796355111,0
560.36,1.4595424785613833,0
562.6,1.4594534574655467,0
564.84,1.4593653995159785,0
567.08,1.4592782882319688,0
569.32,1.4591921074752732,0
571.56,1.4591068414415285,0
573.8,1.4590224746519174,0
576.04,1.4589389919450806,0
578.28,1.4588563784692612,0
580.52,1.45877461967468,0
582.76,1.4586937013061279,0
585.0,1.458613609395774,0
