wavelength,n,kappa
529.0,2.5420480183656724,0
531.24,2.5405381042007,0
533.48,2.5390504498944204,0
535.72,2.5375846046960575,0
537.96,2.5361401295573796,0
540.2,2.534716596760387,0
542.44,2.5333135895590497,0
544.68,2.531930701834485,0
546.92,2.5305675377629964,0
549.16,2.5292237114964036,0
551.4,2.5278988468541566,0
553.64,2.5265925770267135,0
555.88,2.5253045442897135,0
558.12,2.5240343997284924,0
560.36,2.5227818029724958,0
562.6,2.5215464219391945,0
564.84,2.5203279325870933,0
567.08,2.5191260186774707,0
569.32,2.517940371544485,0
571.56,2.5167706898733093,0
573.8,2.5156166794859742,0
576.04,2.514478053134601,0
578.28,2.5133545303017364,0
580.52,2.5122458370075034,0
582.76,2.5111517056233006,0
585.0,2.510071874691792,0
